generation,member,lr,metric,metric_delta,metric_ema,metric_ema_delta,state,direction_streak,action,reason,action_ready,safety_check,proposed_lr,bounded_lr,applied
0,fixed_lr_3e-6,3e-06,0.44031883966782376,,0.44031883966782376,,flat,0,keep,metric trend is flat or unavailable,True,passed,3e-06,3e-06,False
0,fixed_lr_4p5e-6,4.5e-06,0.4393821250013202,,0.4393821250013202,,flat,0,keep,metric trend is flat or unavailable,True,passed,4.5e-06,4.5e-06,False
0,fixed_lr_6e-6,6e-06,0.4367969259706897,,0.4367969259706897,,flat,0,keep,metric trend is flat or unavailable,True,passed,6e-06,6e-06,False
0,fixed_lr_7p5e-6,7.5e-06,0.43575658656039407,,0.43575658656039407,,flat,0,keep,metric trend is flat or unavailable,True,passed,7.5e-06,7.5e-06,False
0,fixed_lr_9e-6,9e-06,0.43484114368538895,,0.43484114368538895,,flat,0,keep,metric trend is flat or unavailable,True,passed,9e-06,9e-06,False
0,fixed_lr_10p5e-6,1.05e-05,0.4331116117779245,,0.4331116117779245,,flat,0,keep,metric trend is flat or unavailable,True,passed,1.05e-05,1.05e-05,False
0,fixed_lr_12e-6,1.2e-05,0.43241122555172307,,0.43241122555172307,,flat,0,keep,metric trend is flat or unavailable,True,passed,1.2e-05,1.2e-05,False
0,fixed_lr_14e-6,1.4e-05,0.43084139858907333,,0.43084139858907333,,flat,0,keep,metric trend is flat or unavailable,True,passed,1.4e-05,1.4e-05,False
1,fixed_lr_3e-6,3e-06,0.436940511555377,0.00337832811244676,0.4386296756116004,0.00168916405622338,flat,0,keep,metric trend is flat or unavailable,True,passed,3e-06,3e-06,False
1,fixed_lr_4p5e-6,4.5e-06,0.43383099751081056,0.005551127490509622,0.43660656125606534,0.0027755637452548387,flat,0,keep,metric trend is flat or unavailable,True,passed,4.5e-06,4.5e-06,False
1,fixed_lr_6e-6,6e-06,0.4320108452194358,0.004786080751253918,0.4344038855950627,0.002393040375626987,flat,0,keep,metric trend is flat or unavailable,True,passed,6e-06,6e-06,False
1,fixed_lr_7p5e-6,7.5e-06,0.42570889271951323,0.010047693840880834,0.4307327396399536,0.0050238469204404446,improving,1,keep,direction has not persisted for the configured patience window,True,passed,7.5e-06,7.5e-06,False
1,fixed_lr_9e-6,9e-06,0.42468992369580505,0.010151219989583904,0.429765533690597,0.005075609994791952,improving,1,keep,direction has not persisted for the configured patience window,True,passed,9e-06,9e-06,False
1,fixed_lr_10p5e-6,1.05e-05,0.42300162977679573,0.010109982001128781,0.4280566207773601,0.0050549910005643905,improving,1,keep,direction has not persisted for the configured patience window,True,passed,1.05e-05,1.05e-05,False
1,fixed_lr_12e-6,1.2e-05,0.4237912380819823,0.008619987469740742,0.42810123181685267,0.004309993734870399,flat,0,keep,metric trend is flat or unavailable,True,passed,1.2e-05,1.2e-05,False
1,fixed_lr_14e-6,1.4e-05,0.42086938189412665,0.009972016694946684,0.4258553902416,0.004986008347473314,improving,1,keep,direction has not persisted for the configured patience window,True,passed,1.4e-05,1.4e-05,False
2,fixed_lr_3e-6,3e-06,0.4341628013090281,0.0027777102463488745,0.4363962384603143,0.0022334371512860995,flat,0,keep,metric trend is flat or unavailable,True,passed,3e-06,3e-06,False
2,fixed_lr_4p5e-6,4.5e-06,0.4316339299394222,0.002197067571388378,0.43412024559774376,0.0024863156583215806,flat,0,keep,metric trend is flat or unavailable,True,passed,4.5e-06,4.5e-06,False
2,fixed_lr_6e-6,6e-06,0.42788177827272433,0.004129066946711446,0.4311428319338935,0.0032610536611691887,flat,0,keep,metric trend is flat or unavailable,True,passed,6e-06,6e-06,False
2,fixed_lr_7p5e-6,7.5e-06,0.4238615541915044,0.001847338528008835,0.427297146915729,0.003435592724224612,flat,0,keep,metric trend is flat or unavailable,True,passed,7.5e-06,7.5e-06,False
2,fixed_lr_9e-6,9e-06,0.4217212676258831,0.002968656069921971,0.42574340065824,0.004022133032356989,flat,0,keep,metric trend is flat or unavailable,True,passed,9e-06,9e-06,False
2,fixed_lr_10p5e-6,1.05e-05,0.4227415797388375,0.0002600500379582038,0.4253991002580988,0.002657520519261325,flat,0,keep,metric trend is flat or unavailable,True,passed,1.05e-05,1.05e-05,False
2,fixed_lr_12e-6,1.2e-05,0.42038949424114813,0.0034017438408341927,0.4242453630290004,0.003855868787852268,flat,0,keep,metric trend is flat or unavailable,True,passed,1.2e-05,1.2e-05,False
2,fixed_lr_14e-6,1.4e-05,0.41916729454816154,0.0017020873459651087,0.42251134239488075,0.003344047846719267,flat,0,keep,metric trend is flat or unavailable,True,passed,1.4e-05,1.4e-05,False
