source_run,generation,training_chunk,trial,LR,optimization_metric_name,optimization_metric_value,total_mistag_score
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,0,0,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.343274779800297,0.343274779800297
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,1,1,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3404428624202291,0.3404428624202291
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,2,2,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3422201420517039,0.3422201420517039
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,3,3,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3421703151130225,0.3421703151130225
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,4,4,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.34229429136583295,0.34229429136583295
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,5,5,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.339864751674515,0.339864751674515
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,6,6,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.339765942911676,0.339765942911676
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,7,7,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3393086335595448,0.3393086335595448
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,8,8,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3384256841393365,0.3384256841393365
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,9,9,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3398627764133903,0.3398627764133903
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,10,10,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.33859507322679916,0.33859507322679916
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,11,11,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3384424126181829,0.3384424126181829
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,12,12,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3383818410226834,0.3383818410226834
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,13,13,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.33491396544548796,0.33491396544548796
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,14,14,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3364126162373847,0.3364126162373847
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,15,15,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.33845682254994663,0.33845682254994663
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,16,16,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3372839353318926,0.3372839353318926
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,17,17,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3378498674419637,0.3378498674419637
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,18,18,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.33918184295526743,0.33918184295526743
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,19,19,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3363572970168598,0.3363572970168598
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,20,20,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3376412030455795,0.3376412030455795
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,21,21,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3371521303603096,0.3371521303603096
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,22,22,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.33775514266389833,0.33775514266389833
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,23,23,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3364074049605752,0.3364074049605752
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,24,24,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.33562918100436395,0.33562918100436395
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,25,25,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3358889840624491,0.3358889840624491
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,26,26,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.335199542065641,0.335199542065641
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,27,27,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.33560521322244985,0.33560521322244985
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,28,28,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.33506780709808814,0.33506780709808814
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,29,29,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3370083276929174,0.3370083276929174
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,30,30,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3343034800758932,0.3343034800758932
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,31,31,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.33405076689034535,0.33405076689034535
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,32,32,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3334980006398747,0.3334980006398747
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,33,33,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.33405756911905365,0.33405756911905365
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,34,34,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.33608457910614137,0.33608457910614137
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,35,35,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3341203695875463,0.3341203695875463
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,36,36,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3316305355292523,0.3316305355292523
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,37,37,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.33271873774572946,0.33271873774572946
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,38,38,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3337555513940782,0.3337555513940782
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,39,39,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.33194743453328696,0.33194743453328696
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,40,40,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3325658361801429,0.3325658361801429
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,41,41,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3325241693328166,0.3325241693328166
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,42,42,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.33184987784423947,0.33184987784423947
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,43,43,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3339751198618736,0.3339751198618736
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,44,44,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.332353233032002,0.332353233032002
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,45,45,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3334724665192752,0.3334724665192752
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,46,46,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3324066403202528,0.3324066403202528
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,47,47,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3335653724517727,0.3335653724517727
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,48,48,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.33144525337790737,0.33144525337790737
runs/pbt/fixed_lr_continuation_20260917_lr_14e-6,49,49,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3315520856267349,0.3315520856267349
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,0,0,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.34523607237044,0.34523607237044
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,1,1,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3459258547308439,0.3459258547308439
