generation,training_chunk,samples_seen,epoch_fraction,trial,LR,optimization_metric_name,optimization_metric_value,optimization_metric_mode,controller_objective_mistag_percent,validation_working_point_mistag_percent,ctag_score,btag_score,total_mistag_score,group_score_warning,btag_c_mistag_percent_at_0p80,btag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p90,btag_d_mistag_percent_at_0p90,ctag_b_mistag_percent_at_0p50,ctag_d_mistag_percent_at_0p50,ctag_b_mistag_percent_at_0p80,ctag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p80_err_low,btag_c_mistag_percent_at_0p80_err_high,btag_c_mistag_percent_at_0p80_passed,btag_c_mistag_percent_at_0p80_total,btag_d_mistag_percent_at_0p80_err_low,btag_d_mistag_percent_at_0p80_err_high,btag_d_mistag_percent_at_0p80_passed,btag_d_mistag_percent_at_0p80_total,btag_c_mistag_percent_at_0p90_err_low,btag_c_mistag_percent_at_0p90_err_high,btag_c_mistag_percent_at_0p90_passed,btag_c_mistag_percent_at_0p90_total,btag_d_mistag_percent_at_0p90_err_low,btag_d_mistag_percent_at_0p90_err_high,btag_d_mistag_percent_at_0p90_passed,btag_d_mistag_percent_at_0p90_total,ctag_b_mistag_percent_at_0p50_err_low,ctag_b_mistag_percent_at_0p50_err_high,ctag_b_mistag_percent_at_0p50_passed,ctag_b_mistag_percent_at_0p50_total,ctag_d_mistag_percent_at_0p50_err_low,ctag_d_mistag_percent_at_0p50_err_high,ctag_d_mistag_percent_at_0p50_passed,ctag_d_mistag_percent_at_0p50_total,ctag_b_mistag_percent_at_0p80_err_low,ctag_b_mistag_percent_at_0p80_err_high,ctag_b_mistag_percent_at_0p80_passed,ctag_b_mistag_percent_at_0p80_total,ctag_d_mistag_percent_at_0p80_err_low,ctag_d_mistag_percent_at_0p80_err_high,ctag_d_mistag_percent_at_0p80_passed,ctag_d_mistag_percent_at_0p80_total,validation_accuracy,validation_auc,validation_loss,best_so_far,training_loss,validation_shutdown_warning,validation_dataset,validation_suffix,validation_sample_count,evaluation_type
0,0,120000,,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.4543765452941074,min,1.0804445446230846,1.0804445446230846,0.6319000314355494,0.326725802567816,0.4543765452941074,,0.1829255970454122,0.08624839284458402,3.3971898253553054,0.21261232010793604,0.5871625916075243,0.07822528672499122,2.903749494892208,1.195442848406716,0.018182839171502825,0.020185616143298488,91,49747,0.012183876768081853,0.014186153343271755,43,49856,0.08028937010267287,0.08216292522929894,1690,49747,0.01965411552799106,0.02165132304856022,106,49856,0.03322534152746335,0.03520573659852623,293,49901,0.011559718856223197,0.013562317276150907,39,49856,0.07422821612929967,0.07611576574960213,1449,49901,0.04770414398039841,0.049661925520584106,596,49856,0.88766,0.9706755857063891,0.30075,0.4543765452941074,0.31658,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
0,0,120000,,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.4606180156912346,min,1.0861310690384924,1.0861310690384924,0.6444390969924086,0.3292304228119011,0.4606180156912346,,0.1846425497621476,0.08827719383697599,3.357684736607203,0.21467408198954027,0.601986548260792,0.07824569185448212,2.901575187937052,1.2619625620597472,0.018258545704222813,0.020258078385054647,92,49826,0.012338556171228405,0.01434127356187212,44,49843,0.0797689195367414,0.08164108985633037,1673,49826,0.019756055500284732,0.02175370119177817,107,49843,0.03367355498561965,0.03565597787045672,300,49835,0.011562732924497512,0.013565852830946787,39,49843,0.07424937054477769,0.07613950718503189,1446,49835,0.049030486352288384,0.05098610939367979,629,49843,0.88743,0.970667105545787,0.30035,0.4543765452941074,0.31458,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
0,0,120000,,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.4635047191089691,min,1.108455065124486,1.108455065124486,0.6569790456793558,0.32700681406684806,0.4635047191089691,,0.1846425497621476,0.08426459494260194,3.3918035511436875,0.2166803822192216,0.6340924749799258,0.07623939505082362,2.991873080960238,1.2880444919372416,0.018258545704222813,0.020258078385054647,92,49826,0.012033784770657701,0.014036663167623656,42,49843,0.08016422485207716,0.082035025683911,1690,49826,0.019852420970833083,0.021849986159165353,108,49843,0.03458008980349193,0.036561224224181295,316,49835,0.011401729846457294,0.013404930256067694,38,49843,0.07537654527551077,0.0772630581103495,1491,49835,0.049538269197651336,0.051492845697947986,642,49843,0.88711,0.9703410259776692,0.30759,0.4543765452941074,0.32024,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
0,0,120000,,lr_5_75e-6,5.75e-06,validation_total_reference_mistag_geomean_percent,0.4446395487387044,min,1.092764583549154,1.092764583549154,0.6202934541845411,0.3187270911353845,0.4446395487387044,,0.1788800953095508,0.08013944576608008,3.4549986830110804,0.20836255695347083,0.5658446740137716,0.07212550118947207,2.9536287142322757,1.2281369979175305,0.01796921097933818,0.019971868799053084,89,49754,0.011705259671227397,0.013705494497423238,40,49913,0.08094847139751907,0.08281943919600729,1719,49754,0.019436942207236036,0.021432039272154067,104,49913,0.03262249500470549,0.03460628871016849,282,49837,0.011057743052711205,0.013058298988986894,36,49913,0.07489996493991978,0.07678793681559735,1472,49837,0.048330511961569914,0.05028474776882577,613,49913,0.88774,0.9705052571878099,0.3042,0.4446395487387044,0.31868,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
0,0,120000,,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.4482797375731339,min,1.0826358892865806,1.0826358892865806,0.6240883024260153,0.32199725958244607,0.4482797375731339,,0.16655630007540984,0.08635578583765112,3.3833001567014267,0.22091014873412174,0.5694007069722828,0.07430613966270709,2.941235540183762,1.2190223361252832,0.017293876893049856,0.019293854567005983,83,49833,0.012199042076151134,0.014203807382473553,43,49794,0.08006035305618414,0.08193123236658467,1686,49833,0.020063522912479575,0.022062883886480276,110,49794,0.03271459050198837,0.03469665069983979,284,49877,0.01124965983914679,0.013254909115527857,37,49794,0.07471568499959301,0.0766026397516207,1467,49877,0.048205716444775504,0.05016498856558402,607,49794,0.88775,0.9707845408585903,0.30171,0.4446395487387044,0.31603,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
1,1,240000,,lr_11_25e-6,7.1875e-06,validation_total_reference_mistag_geomean_percent,0.4516290308757834,min,1.075176650920968,1.075176650920968,0.6332647645071148,0.32209084250653536,0.4516290308757834,,0.1765295818498628,0.08633151449103768,3.382146463905259,0.20880180402515688,0.5737672050928844,0.08030838734444906,2.8828793954469587,1.2106488552121346,0.017828409726478513,0.019827305251592726,88,49850,0.012195614352760408,0.014199817146913691,43,49808,0.08003351141169651,0.08190379901117095,1686,49850,0.01947788016626775,0.021477165363765864,104,49808,0.03285272344902314,0.034835841100918676,286,49846,0.011729927671311582,0.0137343723144807,40,49808,0.07400554454109962,0.07589601420755349,1437,49846,0.04803186030668399,0.04999091795121653,603,49808,0.88771,0.9707097138427644,0.30022,0.4446395487387044,0.31068,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
1,1,240000,,lr_14e-6,8.625e-06,validation_total_reference_mistag_geomean_percent,0.45079517773907246,min,1.0802797119741256,1.0802797119741256,0.6097225812569168,0.33329303935878557,0.45079517773907246,,0.19093174434864063,0.08613091457426127,3.436771398275531,0.2183318680374152,0.5599711059830934,0.07210960378096568,2.8961947560163845,1.1817963047767122,0.018594816596633097,0.020596909498258046,95,49756,0.012167287146154851,0.014166841240536568,43,49924,0.08073796262115795,0.08260958786204392,1710,49756,0.019916004771815224,0.021910262884406805,109,49924,0.032452710976785086,0.034437258047602566,279,49824,0.011055307328370505,0.013055423117790576,36,49924,0.07418968973605944,0.07608045964654642,1443,49824,0.04739700474049053,0.04935266637973255,590,49924,0.88748,0.9707820063190145,0.29971,0.4446395487387044,0.30999,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
1,1,240000,,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.4457185760283266,min,1.081281345415819,1.081281345415819,0.6112903749006846,0.32499292835912225,0.4457185760283266,,0.18892193767213442,0.08212482753234843,3.4186832610381233,0.21031968232280016,0.5740205428512695,0.07010656077426672,2.916265390563232,1.1898085605723776,0.018491835621283467,0.020494009307837662,94,49756,0.011859420540142631,0.01385913511882101,41,49924,0.08053004508633069,0.08240239739157953,1701,49756,0.01953024924906152,0.02152482833024639,105,49924,0.03286719140230109,0.0348511745211234,286,49824,0.010887942586388928,0.01288813861795732,35,49924,0.07444214927001223,0.07633211353479212,1453,49824,0.04755883372062463,0.04951417439127328,594,49924,0.88747,0.9706612296409581,0.30202,0.4446395487387044,0.31252,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
1,1,240000,,lr_5_75e-6,4.3125e-06,validation_total_reference_mistag_geomean_percent,0.45161555368955,min,1.0759289803953238,1.0759289803953238,0.6348525273964829,0.32126612013460926,0.45161555368955,,0.1765295818498628,0.08633151449103768,3.3801403986310214,0.2067940895563305,0.5777795723676497,0.08030838734444906,2.886891713919057,1.2126565850031816,0.017828409726478513,0.019827305251592726,88,49850,0.012195614352760408,0.014199817146913691,43,49808,0.08001029940777823,0.08188066748780684,1685,49850,0.01937959466025553,0.02137896047409221,103,49808,0.03297014616073443,0.03495310282568744,288,49846,0.011729927671311582,0.0137343723144807,40,49808,0.07405620628053652,0.07594651496004787,1439,49846,0.048072008132869076,0.05003098516106301,604,49808,0.88772,0.9706451307414556,0.30141,0.4446395487387044,0.31169,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
1,1,240000,,lr_8_5e-6,5.75e-06,validation_total_reference_mistag_geomean_percent,0.45165843058781413,min,1.075678040027852,1.075678040027852,0.6333699023051187,0.3220793049663653,0.45165843058781413,,0.1785356048531086,0.08633151449103768,3.376128441863998,0.2067940895563305,0.5717610451320091,0.08030838734444906,2.894916381769748,1.2106488552121346,0.01793463264304091,0.019933447687600896,89,49850,0.012195614352760408,0.014199817146913691,43,49808,0.07996385249542728,0.08183438153656422,1683,49850,0.01937959466025553,0.02137896047409221,103,49808,0.032793855678308476,0.034777053823675276,285,49846,0.011729927671311582,0.0137343723144807,40,49808,0.07415741465967643,0.07604740136530272,1443,49846,0.04803186030668399,0.04999091795121653,603,49808,0.88776,0.9706804525955519,0.30075,0.4446395487387044,0.31116,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
