generation,training_chunk,samples_seen,epoch_fraction,trial,LR,optimization_metric_name,optimization_metric_value,optimization_metric_mode,controller_objective_mistag_percent,validation_working_point_mistag_percent,ctag_score,btag_score,total_mistag_score,group_score_warning,btag_c_mistag_percent_at_0p80,btag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p90,btag_d_mistag_percent_at_0p90,ctag_b_mistag_percent_at_0p50,ctag_d_mistag_percent_at_0p50,ctag_b_mistag_percent_at_0p80,ctag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p80_err_low,btag_c_mistag_percent_at_0p80_err_high,btag_c_mistag_percent_at_0p80_passed,btag_c_mistag_percent_at_0p80_total,btag_d_mistag_percent_at_0p80_err_low,btag_d_mistag_percent_at_0p80_err_high,btag_d_mistag_percent_at_0p80_passed,btag_d_mistag_percent_at_0p80_total,btag_c_mistag_percent_at_0p90_err_low,btag_c_mistag_percent_at_0p90_err_high,btag_c_mistag_percent_at_0p90_passed,btag_c_mistag_percent_at_0p90_total,btag_d_mistag_percent_at_0p90_err_low,btag_d_mistag_percent_at_0p90_err_high,btag_d_mistag_percent_at_0p90_passed,btag_d_mistag_percent_at_0p90_total,ctag_b_mistag_percent_at_0p50_err_low,ctag_b_mistag_percent_at_0p50_err_high,ctag_b_mistag_percent_at_0p50_passed,ctag_b_mistag_percent_at_0p50_total,ctag_d_mistag_percent_at_0p50_err_low,ctag_d_mistag_percent_at_0p50_err_high,ctag_d_mistag_percent_at_0p50_passed,ctag_d_mistag_percent_at_0p50_total,ctag_b_mistag_percent_at_0p80_err_low,ctag_b_mistag_percent_at_0p80_err_high,ctag_b_mistag_percent_at_0p80_passed,ctag_b_mistag_percent_at_0p80_total,ctag_d_mistag_percent_at_0p80_err_low,ctag_d_mistag_percent_at_0p80_err_high,ctag_d_mistag_percent_at_0p80_passed,ctag_d_mistag_percent_at_0p80_total,validation_accuracy,validation_auc,validation_loss,best_so_far,training_loss,validation_shutdown_warning,validation_dataset,validation_suffix,validation_sample_count,evaluation_type
0,0,120000,,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.4461349762250741,min,1.080973925863295,1.080973925863295,0.6130013382606262,0.324691651695423,0.4461349762250741,,0.18289986712297862,0.08414641311533605,3.432889854226195,0.2103660354893819,0.5397596267606986,0.07412898443291327,2.91149151966343,1.2121091060954277,0.018180282987946616,0.020182779224813353,91,49754,0.012016913729455956,0.014016988000611864,42,49913,0.08069499931890253,0.08256685582305537,1708,49754,0.01953454947840711,0.021529566265805204,105,49913,0.0318430391363457,0.03382787963490709,269,49837,0.011222846730816366,0.01322332238957209,37,49913,0.0743726080551052,0.07626227090424958,1451,49837,0.048011494125955664,0.04996637215337156,605,49913,0.88762,0.970697353572269,0.29992,0.4461349762250741,0.31487,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
0,0,120000,,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.4592793109002427,min,1.1089853582358649,1.1089853582358649,0.6307791199073759,0.334407843829669,0.4592793109002427,,0.18457958349725137,0.08626050799773483,3.464879735587211,0.2266845830132668,0.6022645389275122,0.07021203743899193,2.9812093649531857,1.2557925144717652,0.018252323162665944,0.02025117640157613,92,49843,0.012185587091792016,0.014188144343277266,43,49849,0.08098988738002022,0.08285711795050776,1727,49843,0.020325222095150895,0.022322145481812675,113,49849,0.03368906009994718,0.03567238716257852,300,49812,0.010904319520453664,0.012907520642204438,35,49849,0.07526156188947669,0.07714937393263274,1485,49812,0.04890668239290793,0.05086231759879236,626,49849,0.88735,0.9705348264172269,0.30695,0.4461349762250741,0.31938,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
0,0,120000,,lr_6e-6,6e-06,validation_total_reference_mistag_geomean_percent,0.45700936171803547,min,1.0936554353947538,1.0936554353947538,0.647242137336521,0.3226884416972604,0.45700936171803547,,0.18062859722005709,0.08426459494260194,3.349656708232409,0.2126677773400562,0.6080063947547574,0.07623939505082362,2.9577607653278193,1.2800192502895062,0.018048942016237846,0.02004863581327621,90,49826,0.012033784770657701,0.014036663167623656,42,49843,0.07967558365922847,0.08154807621123042,1669,49826,0.01965923697741,0.02165696317206452,106,49843,0.03384536990814688,0.03582755120595631,303,49835,0.011401729846457294,0.013404930256067694,38,49843,0.07495293825999921,0.07684082008799498,1474,49835,0.04938260139142701,0.05133749990436833,638,49843,0.88729,0.9704732945808745,0.30448,0.4461349762250741,0.31822,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
0,0,120000,,lr_9e-6,9e-06,validation_total_reference_mistag_geomean_percent,0.45104371073606286,min,1.0836394749745684,1.0836394749745684,0.6235382036907423,0.3262677856631508,0.45104371073606286,,0.17056970844802075,0.09037233468079162,3.389320351695772,0.21689360801934462,0.5673957809808651,0.07430613966270709,2.941235540183762,1.2190223361252832,0.017512027280832322,0.01951184388384202,85,49833,0.012500637156729808,0.01450524113969933,45,49794,0.08012996581186413,0.08200060351584507,1689,49833,0.01987193847225468,0.021871460769608234,108,49794,0.032655548598301345,0.034637689189598135,283,49877,0.01124965983914679,0.013254909115527857,37,49794,0.07471568499959301,0.0766026397516207,1467,49877,0.048205716444775504,0.05016498856558402,607,49794,0.8878,0.9708021420350338,0.30136,0.4461349762250741,0.31724,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
1,1,240000,,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.45037707090544216,min,1.0621020864248707,1.0621020864248707,0.5960334562040185,0.3403156381341369,0.45037707090544216,,0.19711170714089613,0.09218067727817196,3.318717475919283,0.22243597532622428,0.5412557172282448,0.0681335394084575,2.860636716029557,1.196344883068131,0.018914974180146378,0.02091834867641363,98,49718,0.012621563448221866,0.014621756595963617,46,49902,0.07939980071017816,0.08127760526911582,1650,49718,0.02011507333120671,0.02211004613947437,111,49902,0.03187368228239036,0.03385659274793085,270,49884,0.010722906041643197,0.012724062944364806,34,49902,0.07369627074464598,0.07558619209667196,1427,49884,0.047700736262147776,0.049656676993732086,597,49902,0.88792,0.9709462832245253,0.29792,0.4461349762250741,0.3062,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
1,1,240000,,lr_3e-6,1.1200000000000001e-05,validation_total_reference_mistag_geomean_percent,0.45081459492992076,min,1.0617769424535002,1.0617769424535002,0.6013570218340303,0.3379586362557174,0.45081459492992076,,0.19035788071634235,0.0921936034160251,3.282170451401105,0.22647559723366362,0.5512745658742235,0.06814310051107325,2.871054031155072,1.212546309320497,0.018538972713800474,0.020535071141964886,95,49906,0.012623333532379597,0.014623806772456026,46,49895,0.07882351182127434,0.08069570728561903,1638,49906,0.0203065019896264,0.022301592754467043,113,49895,0.03223148971894943,0.034221217927103614,274,49703,0.01072441001240636,0.012725847277898165,34,49895,0.07396083329728673,0.07585721773068765,1427,49703,0.04802871463666994,0.049984280359480215,605,49895,0.88808,0.9707910393835549,0.2987,0.4461349762250741,0.30589,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
1,1,240000,,lr_6e-6,1.26e-05,validation_total_reference_mistag_geomean_percent,0.44926768445887766,min,1.0592701365589248,1.0592701365589248,0.6007023013533793,0.33600912106428404,0.44926768445887766,,0.188354097425881,0.0921936034160251,3.2701479060064504,0.2244713965089793,0.5492626197939544,0.06814310051107325,2.869042059488538,1.212546309320497,0.018436300494631255,0.020432479222837044,94,49906,0.012623333532379597,0.014623806772456026,46,49895,0.07868202739643795,0.08055470466103096,1632,49906,0.02021240868656112,0.02220757978685299,112,49895,0.032171152642074693,0.03416096180753571,273,49703,0.01072441001240636,0.012725847277898165,34,49895,0.07393532134852658,0.07583178673923434,1426,49703,0.04802871463666994,0.049984280359480215,605,49895,0.88818,0.9708143372884689,0.2985,0.4461349762250741,0.30576,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
1,1,240000,,lr_9e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.44118887233828563,min,1.0709348169950523,1.0709348169950523,0.6126283806203275,0.31772543883460685,0.44118887233828563,,0.1864885919155192,0.07411561801179607,3.3768473333148266,0.2183406113537118,0.5632329447270091,0.07211249831426472,2.866453557578272,1.2098873807450197,0.01834667048687276,0.020344405052738795,93,49869,0.011220824046660196,0.013220939599797334,37,49922,0.07995711831702834,0.08182690587106856,1684,49869,0.01991680190136908,0.02191113955690451,109,49922,0.03258464918012094,0.034573496066021406,280,49713,0.011055750107524754,0.013055945909239683,36,49922,0.07389514319064462,0.07579133124862615,1425,49713,0.04796286507096712,0.04991747968049066,604,49922,0.88737,0.9707758464624208,0.29867,0.44118887233828563,0.30601,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
2,2,360000,,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.4213135841133416,min,1.0383717052077162,1.0383717052077162,0.5816916748884982,0.30515330341018704,0.4213135841133416,,0.18480946092691014,0.0721847909500433,3.274341583409906,0.19850818385851252,0.551643888011981,0.06416426050689766,2.8103750508028593,1.1509464231946192,0.018275037635943035,0.020276371071101966,92,49781,0.011066831124947918,0.013069029316632003,36,49872,0.07882903363881436,0.0807062446140143,1630,49781,0.018957244211200482,0.020954376600230886,99,49872,0.032196088771474334,0.03417989508220139,275,49851,0.01038185372680717,0.01238437355675498,32,49872,0.0730797494199343,0.0749729382622178,1401,49851,0.04679241489246675,0.048751352737679866,574,49872,0.88834,0.9712330535880253,0.29568,0.4213135841133416,0.30551,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
2,2,360000,,lr_3e-6,1.1200000000000001e-05,validation_total_reference_mistag_geomean_percent,0.4218264796635453,min,1.0388731640868227,1.0388731640868227,0.5816455395093411,0.30592098943188367,0.4218264796635453,,0.18480946092691014,0.0721847909500433,3.274341583409906,0.2005133135932643,0.551643888011981,0.06416426050689766,2.8143867572315506,1.1489412580640297,0.018275037635943035,0.020276371071101966,92,49781,0.011066831124947918,0.013069029316632003,36,49872,0.07882903363881436,0.0807062446140143,1630,49781,0.01905736402742137,0.02105441600688579,100,49872,0.032196088771474334,0.03417989508220139,275,49851,0.01038185372680717,0.01238437355675498,32,49872,0.07313111086208364,0.07502413874971615,1403,49851,0.04675124563503722,0.04871026388981615,573,49872,0.88826,0.9711964430048953,0.29591,0.4213135841133416,0.30565,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
