generation,training_chunk,samples_seen,epoch_fraction,trial,LR,optimization_metric_name,optimization_metric_value,optimization_metric_mode,controller_objective_mistag_percent,validation_working_point_mistag_percent,ctag_score,btag_score,total_mistag_score,group_score_warning,btag_c_mistag_percent_at_0p80,btag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p90,btag_d_mistag_percent_at_0p90,ctag_b_mistag_percent_at_0p50,ctag_d_mistag_percent_at_0p50,ctag_b_mistag_percent_at_0p80,ctag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p80_err_low,btag_c_mistag_percent_at_0p80_err_high,btag_c_mistag_percent_at_0p80_passed,btag_c_mistag_percent_at_0p80_total,btag_d_mistag_percent_at_0p80_err_low,btag_d_mistag_percent_at_0p80_err_high,btag_d_mistag_percent_at_0p80_passed,btag_d_mistag_percent_at_0p80_total,btag_c_mistag_percent_at_0p90_err_low,btag_c_mistag_percent_at_0p90_err_high,btag_c_mistag_percent_at_0p90_passed,btag_c_mistag_percent_at_0p90_total,btag_d_mistag_percent_at_0p90_err_low,btag_d_mistag_percent_at_0p90_err_high,btag_d_mistag_percent_at_0p90_passed,btag_d_mistag_percent_at_0p90_total,ctag_b_mistag_percent_at_0p50_err_low,ctag_b_mistag_percent_at_0p50_err_high,ctag_b_mistag_percent_at_0p50_passed,ctag_b_mistag_percent_at_0p50_total,ctag_d_mistag_percent_at_0p50_err_low,ctag_d_mistag_percent_at_0p50_err_high,ctag_d_mistag_percent_at_0p50_passed,ctag_d_mistag_percent_at_0p50_total,ctag_b_mistag_percent_at_0p80_err_low,ctag_b_mistag_percent_at_0p80_err_high,ctag_b_mistag_percent_at_0p80_passed,ctag_b_mistag_percent_at_0p80_total,ctag_d_mistag_percent_at_0p80_err_low,ctag_d_mistag_percent_at_0p80_err_high,ctag_d_mistag_percent_at_0p80_passed,ctag_d_mistag_percent_at_0p80_total,validation_accuracy,validation_auc,validation_loss,best_so_far,training_loss,validation_shutdown_warning,validation_dataset,validation_suffix,validation_sample_count,evaluation_type
0,0,120000,,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.4431640828061313,min,1.082604994961262,1.082604994961262,0.62588457711533,0.3137869368735229,0.4431640828061313,,0.18253300417083013,0.07824883090018823,3.452080009760596,0.19662526763100335,0.5902547797433523,0.07624245323495277,2.9151358563356142,1.1697197579135594,0.018143844393801255,0.020142338707456842,91,49854,0.0115631967668207,0.013566396926072598,39,49841,0.08083479887251027,0.08270213093253126,1721,49854,0.018868334374298332,0.020866784465853588,98,49841,0.03334463409713642,0.03532856283541232,294,49809,0.011402187234140219,0.013405467903014112,38,49841,0.07443903327365858,0.07632961204021779,1452,49809,0.0471904517917213,0.04914985471661717,583,49841,0.8877,0.9706115703056245,0.30036,0.4431640828061313,0.31399,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
0,0,120000,,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.4515134609221973,min,1.1110847550859118,1.1110847550859118,0.6468133299092864,0.31518275206624446,0.4515134609221973,,0.18257327808738444,0.07427183546177327,3.4528418467403648,0.21077141772852118,0.6219404644984984,0.07427183546177327,3.01540820865469,1.2565991540542896,0.01814784548760046,0.020146779229671792,91,49843,0.011244467489871065,0.013248792358998045,37,49817,0.08085233083499344,0.08272004442444747,1721,49843,0.019572159286798715,0.02157100422543888,105,49817,0.034236772335300134,0.03621803663646514,310,49844,0.011244467489871065,0.013248792358998045,37,49817,0.07566051339199832,0.07754574127550977,1503,49844,0.04893790940431672,0.05089476840496286,626,49817,0.88705,0.970326109285507,0.30772,0.4431640828061313,0.32037,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
0,0,120000,,lr_6e-6,6e-06,validation_total_reference_mistag_geomean_percent,0.44639363842011603,min,1.1105136919194283,1.1105136919194283,0.6316012786429773,0.31549537209627515,0.44639363842011603,,0.17883337202744368,0.07815474658905382,3.50232078318575,0.2024007541108175,0.5979613328800448,0.07013887788925814,2.9817800707431146,1.2725195979299422,0.01796452069295171,0.019966657272140136,89,49767,0.011549297665899036,0.013550093034966524,39,49901,0.08147747586742665,0.08334605323380567,1743,49767,0.019145859536308547,0.021141675305075703,101,49901,0.033557854476371114,0.03554039911938308,298,49836,0.010892959614077663,0.012894076247680655,35,49901,0.07525074278833255,0.07713762280762843,1486,49836,0.0492086041029606,0.05116153105623779,635,49901,0.88707,0.9705033271355511,0.30431,0.4431640828061313,0.31898,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
0,0,120000,,lr_9e-6,9e-06,validation_total_reference_mistag_geomean_percent,0.4435419425072651,min,1.086132203572742,1.086132203572742,0.6306209075036547,0.31196151669293953,0.4435419425072651,,0.17438014637757282,0.07631594465715258,3.407428233583999,0.20886470292967038,0.5881172074088625,0.07430763597131791,2.920513750347456,1.2391300073059057,0.017707027630142345,0.01970436667653355,87,49891,0.011413175558177712,0.013418384380605136,38,49793,0.08029276774933966,0.08216050493391955,1700,49891,0.01948374252761366,0.02148362746556376,104,49793,0.03327921471954123,0.03526279123458511,293,49820,0.011249885702244134,0.013255175189587885,37,49793,0.07449842168397273,0.0763883671346919,1455,49820,0.048605379732535696,0.05056388356841201,617,49793,0.88754,0.970646454224001,0.30198,0.4431640828061313,0.31665,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
1,1,240000,,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.438954862518931,min,1.0622730304229653,1.0622730304229653,0.6107633246761679,0.3154763286272551,0.438954862518931,,0.18898271380284343,0.08001600320064013,3.3413752084424075,0.1960392040119117,0.5685699566788144,0.07201440428738881,2.8649495373735565,1.1862372155861607,0.01849777912173252,0.020500594396451924,94,49740,0.011687235644030746,0.013684394492495425,40,49990,0.07964713243457933,0.0815231954348905,1662,49740,0.01881214290217774,0.020804659986939235,98,49990,0.03272294781097558,0.03470914289139303,283,49774,0.011040715486621033,0.013038194456720402,36,49990,0.07383135141839359,0.07572527609656307,1426,49774,0.04745604665783564,0.049408948690303316,593,49990,0.88804,0.9709480190087557,0.2975,0.438954862518931,0.30679,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
1,1,240000,,lr_3e-6,1.1200000000000001e-05,validation_total_reference_mistag_geomean_percent,0.43895966758533594,min,1.0615117557001286,1.0615117557001286,0.6130585279529596,0.31430211143137954,0.43895966758533594,,0.18697226467759095,0.08001600320064013,3.327301997677118,0.1960392040119117,0.5725880962730138,0.07201440428738881,2.858922392249204,1.19823968322416,0.018394214223471435,0.020397110335100513,93,49740,0.011687235644030746,0.013684394492495425,40,49990,0.07948284585974214,0.08135947471842042,1655,49740,0.01881214290217774,0.020804659986939235,98,49990,0.03284116831317654,0.03482720194057168,285,49774,0.011040715486621033,0.013038194456720402,36,49990,0.07375486141465125,0.0756490282723541,1423,49774,0.0476976320787326,0.04965005392874814,599,49990,0.88789,0.9709067206412296,0.29784,0.438954862518931,0.30705,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
1,1,240000,,lr_6e-6,1.26e-05,validation_total_reference_mistag_geomean_percent,0.43600944913837025,min,1.0478375506254305,1.0478375506254305,0.6086031887389076,0.3123615571779403,0.43600944913837025,,0.18876639478883084,0.07604258496148349,3.2491916188149297,0.2041143035116406,0.5529305547200531,0.07204034399967779,2.816929861945249,1.2226847422615787,0.018476622820488148,0.020477154312052086,94,49797,0.011372305655147394,0.013370342891901369,38,49972,0.07851950301001678,0.08039712091762949,1618,49797,0.019217608401694147,0.021210520001797763,102,49972,0.0322709910562856,0.03425937248897762,275,49735,0.01104469125834559,0.013042888671244873,36,49972,0.07324782447652063,0.0751451652466855,1401,49735,0.048194324488647945,0.05014647125976667,611,49972,0.88792,0.9708111805512525,0.29819,0.43600944913837025,0.30683,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
1,1,240000,,lr_9e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.44634533982265284,min,1.0525417197589224,1.0525417197589224,0.6083429466510254,0.32748659860058166,0.44634533982265284,,0.19623941136321293,0.08223849323660673,3.290013723241828,0.2166282260866714,0.54918529330455,0.07421522742093206,2.8203581694784106,1.1914552139391679,0.018831338513387863,0.020825882389555964,98,49939,0.011875828810755967,0.013878306406566907,41,49855,0.0788898873787365,0.08076053159912708,1643,49939,0.019847647017380177,0.021844733497569442,108,49855,0.03216663382392456,0.03415616590838888,273,49710,0.01123589931922174,0.013238698772681717,37,49855,0.07330990421444972,0.0752080612389773,1402,49710,0.047624282675200365,0.04958226345102932,594,49855,0.88778,0.97097656953107,0.29781,0.43600944913837025,0.30735,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
2,2,360000,,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.42306421085001616,min,1.0350633961210538,1.0350633961210538,0.5938233034071516,0.30140839114127527,0.42306421085001616,,0.18046561096927788,0.07211538673152591,3.230334266226917,0.196314102084052,0.5551867638921222,0.06810897169420402,2.8061071022949267,1.1718749650754046,0.01803266850322542,0.020030564492908996,90,49871,0.011056192922148156,0.01305646874255979,36,49920,0.07823854651472922,0.08011413464985989,1611,49871,0.01883849983892031,0.02083379984883344,98,49920,0.03234533833810774,0.03433450892297027,276,49713,0.01071904062451888,0.0127194769549466,34,49920,0.07312505410998864,0.07502366991018646,1395,49713,0.04719767848991637,0.049153894310913736,585,49920,0.88842,0.9712846146921005,0.29555,0.42306421085001616,0.30384,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
2,2,360000,,lr_3e-6,1.008e-05,validation_total_reference_mistag_geomean_percent,0.4285750698722558,min,1.0429400424760118,1.0429400424760118,0.5897800628598608,0.3114323492478802,0.4285750698722558,,0.18924905066489553,0.07410226311314716,3.2836723156977157,0.20428190279166356,0.5390457354018797,0.06809396901225674,2.8134582437930513,1.1716168593334837,0.018523826921613237,0.020529453985949,94,49670,0.011218802091465861,0.013218557668605963,37,49931,0.07902604005980904,0.08090707034964575,1631,49670,0.019233374711047618,0.02122791601085394,102,49931,0.03180102873259613,0.033783272811277035,269,49903,0.010716679796773704,0.01271667603286766,34,49931,0.07308160592820745,0.07497269850159916,1404,49903,0.04718733857318781,0.04914313378142181,585,49931,0.8883,0.9711428789072282,0.29631,0.42306421085001616,0.30514,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
