generation,training_chunk,samples_seen,epoch_fraction,trial,LR,optimization_metric_name,optimization_metric_value,optimization_metric_mode,controller_objective_mistag_percent,validation_working_point_mistag_percent,btag_c_mistag_percent_at_0p80,btag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p90,btag_d_mistag_percent_at_0p90,ctag_b_mistag_percent_at_0p50,ctag_d_mistag_percent_at_0p50,ctag_b_mistag_percent_at_0p80,ctag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p80_err_low,btag_c_mistag_percent_at_0p80_err_high,btag_c_mistag_percent_at_0p80_passed,btag_c_mistag_percent_at_0p80_total,btag_d_mistag_percent_at_0p80_err_low,btag_d_mistag_percent_at_0p80_err_high,btag_d_mistag_percent_at_0p80_passed,btag_d_mistag_percent_at_0p80_total,btag_c_mistag_percent_at_0p90_err_low,btag_c_mistag_percent_at_0p90_err_high,btag_c_mistag_percent_at_0p90_passed,btag_c_mistag_percent_at_0p90_total,btag_d_mistag_percent_at_0p90_err_low,btag_d_mistag_percent_at_0p90_err_high,btag_d_mistag_percent_at_0p90_passed,btag_d_mistag_percent_at_0p90_total,ctag_b_mistag_percent_at_0p50_err_low,ctag_b_mistag_percent_at_0p50_err_high,ctag_b_mistag_percent_at_0p50_passed,ctag_b_mistag_percent_at_0p50_total,ctag_d_mistag_percent_at_0p50_err_low,ctag_d_mistag_percent_at_0p50_err_high,ctag_d_mistag_percent_at_0p50_passed,ctag_d_mistag_percent_at_0p50_total,ctag_b_mistag_percent_at_0p80_err_low,ctag_b_mistag_percent_at_0p80_err_high,ctag_b_mistag_percent_at_0p80_passed,ctag_b_mistag_percent_at_0p80_total,ctag_d_mistag_percent_at_0p80_err_low,ctag_d_mistag_percent_at_0p80_err_high,ctag_d_mistag_percent_at_0p80_passed,ctag_d_mistag_percent_at_0p80_total,validation_accuracy,validation_auc,validation_loss,best_so_far,training_loss,validation_shutdown_warning,validation_dataset,validation_suffix,validation_sample_count,evaluation_type
0,0,20000,,lr_14e-6,1.4e-05,validation_working_point_mistag_percent,1.141145443855642,min,1.141145443855642,1.141145443855642,0.18828452844516788,0.04215851602023609,3.535564901523194,0.27403036294555544,0.5195345086226667,0.06323777240315037,3.262676688285584,1.2436762725995834,0.05313693772646183,0.073974300404216,9,4780,0.021077776650175538,0.04213482258652106,2,4744,0.25754574739101577,0.2769828673016804,169,4780,0.06613063497126836,0.08708994778301483,13,4744,0.09385399104834477,0.11441516516133443,25,4812,0.027457993015367266,0.048506154122203785,3,4744,0.2465536766206297,0.2659749620385704,157,4812,0.15093839862095232,0.17148900927528438,59,4744,0.88651,0.9705540431446796,0.3094,1.1400000057487494,0.31846,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val5k_tail,15000,proxy
0,0,20000,,lr_3e-6,3e-06,validation_working_point_mistag_percent,1.1206691953219494,min,1.1206691953219494,1.1206691953219494,0.18828452844516788,0.042096400757735214,3.45188295537982,0.27362659789482546,0.4994797213260449,0.06314460275901523,3.204994893775492,1.2418438622374943,0.05313693772646183,0.073974300404216,9,4780,0.021046723381260735,0.042072777084645505,2,4751,0.25446565649001884,0.2739377824698602,165,4780,0.06603328727477825,0.08696189560603862,13,4751,0.09191088521645525,0.11251035267020593,24,4805,0.027417542346838734,0.048434737380030395,3,4751,0.24451671533777045,0.26399029220123893,154,4805,0.15071715814827802,0.17123826765065436,59,4751,0.88672,0.9706842713348239,0.30952,1.1206691953219494,0.3193,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val5k_tail,15000,proxy
0,0,20000,,lr_6e-6,6e-06,validation_working_point_mistag_percent,1.1234312948901193,min,1.1234312948901193,1.1234312948901193,0.14565127294625393,0.042096400757735214,3.370786589092867,0.27362659789482546,0.5440468682563313,0.06314460275901523,3.285206020905993,1.2628920065079328,0.045603182376751164,0.06634557835376521,7,4806,0.021046723381260735,0.042072777084645505,2,4751,0.2507855692761369,0.2701861157638208,162,4806,0.06603328727477825,0.08696189560603862,13,4751,0.09655006035181324,0.11724292776949911,26,4779,0.027417542346838734,0.048434737380030395,3,4751,0.24823053921685345,0.26777647808293514,157,4779,0.1520570668091907,0.17256931764137418,60,4751,0.88616,0.970647246121036,0.3094,1.1206691953219494,0.32005,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val5k_tail,15000,proxy
0,0,20000,,lr_9e-6,9e-06,validation_working_point_mistag_percent,1.1234459949604987,min,1.1234459949604987,1.1234459949604987,0.14565127294625393,0.042096400757735214,3.349979249844334,0.27362659789482546,0.5440468682563313,0.06314460275901523,3.306130960717561,1.2628920065079328,0.045603182376751164,0.06634557835376521,7,4806,0.021046723381260735,0.042072777084645505,2,4751,0.25000522594563374,0.26941442952679795,161,4806,0.06603328727477825,0.08696189560603862,13,4751,0.09655006035181324,0.11724292776949911,26,4779,0.027417542346838734,0.048434737380030395,3,4751,0.24902597871275833,0.26856316239905687,158,4779,0.1520570668091907,0.17256931764137418,60,4751,0.88623,0.9706657767301997,0.30899,1.1206691953219494,0.31984,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val5k_tail,15000,proxy
1,1,40000,,lr_14e-6,1.4e-05,validation_working_point_mistag_percent,1.099652613468706,min,1.099652613468706,1.099652613468706,0.2107481559536354,0.06255212836441991,3.4773445452792062,0.31276062988127734,0.4796663297672349,0.06255212836441991,2.898852983376691,1.2927440067627618,0.05689794718691703,0.07787951138584093,10,4745,0.027160321423668924,0.04798060404748701,3,4796,0.2563125698061379,0.2759175657719042,165,4745,0.07092435028420159,0.09164031416418429,15,4796,0.08997432135121235,0.110625002619318,23,4795,0.027160321423668924,0.04798060404748701,3,4796,0.2326402744743678,0.252282120607877,139,4795,0.15325905196270986,0.17356643409600392,62,4796,0.88783,0.9707118359910306,0.30566,1.099652613468706,0.31252,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val5k_tail,15000,proxy
1,1,40000,,lr_3e-6,3e-06,validation_working_point_mistag_percent,1.1671051477869365,min,1.1671051477869365,1.1671051477869365,0.18785223009742655,0.06266973211826066,3.527447405147473,0.31334865459842115,0.48339637883476805,0.06266973211826066,3.3207229955165096,1.3787340538643726,0.053015005672246145,0.07380471676451744,9,4791,0.027211378778731362,0.04807074814777055,3,4787,0.25696406110304115,0.27635995121280055,169,4791,0.071057553314127,0.0918122113539763,15,4787,0.0906727585282362,0.11148242594364449,23,4758,0.027211378778731362,0.04807074814777055,3,4787,0.25010833766836926,0.26972560054172245,158,4758,0.15866970945226117,0.17897934434305315,66,4787,0.88553,0.9699738797174507,0.31185,1.099652613468706,0.32263,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val5k_tail,15000,proxy
1,1,40000,,lr_6e-6,6e-06,validation_working_point_mistag_percent,1.1697504029792813,min,1.1697504029792813,1.1697504029792813,0.18785223009742655,0.06266973211826066,3.506574894810378,0.31334865459842115,0.48339637883476805,0.06266973211826066,3.362757547392363,1.3787340538643726,0.053015005672246145,0.07380471676451744,9,4791,0.027211378778731362,0.04807074814777055,3,4787,0.2561995213551903,0.27560412284609104,168,4791,0.071057553314127,0.0918122113539763,15,4787,0.0906727585282362,0.11148242594364449,23,4758,0.027211378778731362,0.04807074814777055,3,4787,0.25169759615506837,0.27129719377594685,160,4758,0.15866970945226117,0.17897934434305315,66,4787,0.88588,0.9700276442053317,0.31067,1.099652613468706,0.32153,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val5k_tail,15000,proxy
1,1,40000,,lr_9e-6,9e-06,validation_working_point_mistag_percent,1.1874167175931107,min,1.1874167175931107,1.1874167175931107,0.14625992291537876,0.041884816753926704,3.5520267984639013,0.2931937060344773,0.6282722312320975,0.06282722673703439,3.4345549024824154,1.3403141361256545,0.04579367340945279,0.06662247644902643,7,4786,0.02094094619055311,0.04186142993563103,2,4775,0.2579909316307513,0.2773968114115441,170,4786,0.06851776402953991,0.08933300954156778,14,4775,0.10446233774198954,0.1251372656099507,30,4775,0.027279754607573575,0.04819146849989734,3,4775,0.25395064411773,0.2734504117166317,164,4775,0.15651852919063794,0.1768952820649575,64,4775,0.88602,0.9700378639138725,0.31061,1.099652613468706,0.31541,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val5k_tail,15000,proxy
2,2,60000,,lr_14e-6,1.4e-05,validation_working_point_mistag_percent,1.0582896219116886,min,1.0582896219116886,1.0582896219116886,0.166216496987326,0.04206098843322818,3.199667612654008,0.25236593059936907,0.5453020204032286,0.02103049421661409,3.104026766168306,1.1356466658314286,0.049265222029484086,0.06996891272454539,8,4813,0.0210290197031243,0.042037404485111986,2,4755,0.24411623918962552,0.26355966770353967,154,4813,0.06304025881190707,0.08396020585538923,12,4755,0.09677235275244367,0.11751242320183633,26,4768,0.012997271625452122,0.03401450018129037,1,4755,0.24149087952522186,0.2611578844127719,148,4768,0.14371463438785265,0.16426314292961147,54,4755,0.88944,0.9710320576934776,0.30146,1.0582896219116886,0.31234,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val5k_tail,15000,proxy
2,2,60000,,lr_3e-6,3e-06,validation_working_point_mistag_percent,1.1504968026947378,min,1.1504968026947378,1.1504968026947378,0.1889168838353725,0.06284038381421339,3.442485311978186,0.3142019311221961,0.6044185192447203,0.06284038381421339,3.418090844020463,1.1101801637285358,0.053315298035165194,0.07422236335454635,9,4764,0.02728546810740553,0.04820155590408782,3,4774,0.2545277171613236,0.27406917138736164,164,4764,0.07125084340287619,0.09206164887843424,15,4774,0.10206588831538094,0.122651669308208,29,4798,0.02728546810740553,0.04820155590408782,3,4774,0.2527524490838262,0.27216562229857993,164,4798,0.14173682466109924,0.16221423611976396,53,4774,0.8877,0.9708174613086031,0.30773,1.0582896219116886,0.3182,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val5k_tail,15000,proxy
