generation,training_chunk,samples_seen,epoch_fraction,trial,LR,optimization_metric_name,optimization_metric_value,optimization_metric_mode,controller_objective_mistag_percent,validation_working_point_mistag_percent,ctag_score,btag_score,total_mistag_score,group_score_warning,btag_c_mistag_percent_at_0p80,btag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p90,btag_d_mistag_percent_at_0p90,ctag_b_mistag_percent_at_0p50,ctag_d_mistag_percent_at_0p50,ctag_b_mistag_percent_at_0p80,ctag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p80_err_low,btag_c_mistag_percent_at_0p80_err_high,btag_c_mistag_percent_at_0p80_passed,btag_c_mistag_percent_at_0p80_total,btag_d_mistag_percent_at_0p80_err_low,btag_d_mistag_percent_at_0p80_err_high,btag_d_mistag_percent_at_0p80_passed,btag_d_mistag_percent_at_0p80_total,btag_c_mistag_percent_at_0p90_err_low,btag_c_mistag_percent_at_0p90_err_high,btag_c_mistag_percent_at_0p90_passed,btag_c_mistag_percent_at_0p90_total,btag_d_mistag_percent_at_0p90_err_low,btag_d_mistag_percent_at_0p90_err_high,btag_d_mistag_percent_at_0p90_passed,btag_d_mistag_percent_at_0p90_total,ctag_b_mistag_percent_at_0p50_err_low,ctag_b_mistag_percent_at_0p50_err_high,ctag_b_mistag_percent_at_0p50_passed,ctag_b_mistag_percent_at_0p50_total,ctag_d_mistag_percent_at_0p50_err_low,ctag_d_mistag_percent_at_0p50_err_high,ctag_d_mistag_percent_at_0p50_passed,ctag_d_mistag_percent_at_0p50_total,ctag_b_mistag_percent_at_0p80_err_low,ctag_b_mistag_percent_at_0p80_err_high,ctag_b_mistag_percent_at_0p80_passed,ctag_b_mistag_percent_at_0p80_total,ctag_d_mistag_percent_at_0p80_err_low,ctag_d_mistag_percent_at_0p80_err_high,ctag_d_mistag_percent_at_0p80_passed,ctag_d_mistag_percent_at_0p80_total,validation_accuracy,validation_auc,validation_loss,best_so_far,training_loss,validation_shutdown_warning,validation_dataset,validation_suffix,validation_sample_count,evaluation_type
0,0,120000,,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.4277869236528106,min,1.0890311952971943,1.0890311952971943,0.6047998162549825,0.3025821885686263,0.4277869236528106,,0.1886341478466187,0.061877098275289186,3.4517247826739594,0.20805924812182844,0.5688886913580933,0.06387959195974899,2.8993037640714565,1.2698822380705603,0.00428996112683119,0.004389601793865737,1886,999819,0.0024387924419550303,0.002538793188686995,618,998754,0.01821050327104265,0.018303616581915455,34511,999819,0.0045098611860099405,0.00460956920400879,2078,998754,0.007469032099598812,0.007567822797746506,5693,1000723,0.00247870415828387,0.0025787008950331892,638,998754,0.016725618222979827,0.016819751462907734,29014,1000723,0.011155417905957775,0.011252999630658421,12683,998754,0.88727,0.9707873759843085,0.30004,0.4277869236528106,0.31552,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val1000k,3000000,proxy
0,0,120000,,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.43358908139688507,min,1.1154625440444859,1.1154625440444859,0.6144369138456515,0.305970372661921,0.43358908139688507,,0.18716742482573004,0.06301809439344354,3.563979934394893,0.20849071567963054,0.5933090677987968,0.06361922403340445,2.9747370222354057,1.2693788689945844,0.004272339258989824,0.004371947492683246,1872,1000174,0.0024623704264571016,0.002562431805227714,629,998126,0.018491049104644303,0.018583904895146802,35646,1000174,0.004515981163519776,0.004615751051096056,2081,998126,0.007626747230214757,0.007725462193268213,5939,1000996,0.0024743130932049304,0.002574373267466481,635,998126,0.01693358074677971,0.01702753759747662,29777,1000996,0.011156717624798314,0.011254361754621349,12670,998126,0.88671,0.970476175528349,0.3073,0.4277869236528106,0.32024,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val1000k,3000000,proxy
0,0,120000,,lr_6e-6,6e-06,validation_total_reference_mistag_geomean_percent,0.42876405929468386,min,1.099044288602077,1.099044288602077,0.6086459704128138,0.30204524054955423,0.42876405929468386,,0.18648322168887282,0.06169618260142044,3.4960854016589282,0.20692258602209135,0.5801561559838917,0.06399977500079101,2.939750940259619,1.257260045601,0.0042646241092293615,0.004364242077561226,1865,1000090,0.0024355289755367696,0.0025355614337379487,616,998441,0.018320791498061678,0.018413790864413998,34964,1000090,0.0044981124473118805,0.004597853999465523,2066,998441,0.007542543108713957,0.007641307143102603,5806,1000765,0.0024814606126219484,0.0025814884564513522,639,998441,0.016838377338734833,0.016932425795436468,29420,1000765,0.011102029035400113,0.011199666634642905,12553,998441,0.88695,0.9705997449666546,0.30417,0.4277869236528106,0.31739,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val1000k,3000000,proxy
0,0,120000,,lr_9e-6,9e-06,validation_total_reference_mistag_geomean_percent,0.4292554590110897,min,1.0952297513888136,1.0952297513888136,0.608013495002766,0.3030528937354969,0.4292554590110897,,0.18793402533828754,0.06237772116336277,3.4682277466554785,0.2074584897834861,0.5729857369077795,0.06397971643052539,2.923885878060851,1.2749886967707393,0.004281915524402742,0.004381557591942825,1879,999819,0.002448830279790223,0.00254883002402651,623,998754,0.018252547559677312,0.018345627858634694,34676,999819,0.004503287481807906,0.0046029967028014904,2072,998754,0.007495904189954491,0.007594686699954802,5734,1000723,0.0024806831810264053,0.0025806797172765804,639,998754,0.01679446486509313,0.016888548976136744,29260,1000723,0.011177636440011518,0.011275207939256612,12734,998754,0.88711,0.9706924958002611,0.3021,0.4277869236528106,0.31762,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val1000k,3000000,proxy
1,1,240000,,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.4202518785382075,min,1.068998391671306,1.068998391671306,0.5892602968902253,0.299717531194527,0.4202518785382075,,0.18531351905328136,0.06211484832247069,3.403448486949784,0.20598086253731862,0.5554234854061072,0.06211484832247069,2.8524257272383133,1.2251653555407016,0.004251440312914075,0.004351076859689671,1853,999927,0.0024442877518607753,0.0025443484343011763,620,998151,0.01808589103866956,0.018179090852152996,34032,999927,0.004488417831826795,0.004588190249537509,2056,998151,0.007378202370062967,0.007476971123963547,5561,1001218,0.0024442877518607753,0.0025443484343011763,620,998151,0.016589348093930603,0.016683528436602438,28559,1001218,0.01096212671065841,0.01105985698554475,12229,998151,0.8876,0.9710227402330677,0.29752,0.4202518785382075,0.30565,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val1000k,3000000,proxy
1,1,240000,,lr_3e-6,1.1200000000000001e-05,validation_total_reference_mistag_geomean_percent,0.4236139074926555,min,1.0704670135810364,1.0704670135810364,0.5949581893182527,0.3016157199665102,0.4236139074926555,,0.18739464484116863,0.06306704137358045,3.4089214876137843,0.20541836062005653,0.5544210032976273,0.0644685300789527,2.8500375193766763,1.230007521446445,0.004276391838417613,0.004376067285574432,1873,999495,0.002462364687628787,0.0025623447323557544,630,998937,0.018103856884309905,0.018197086028789305,34072,999495,0.004480485559243833,0.0045801805986562475,2052,998937,0.007372827663781889,0.007471633354898602,5549,1000864,0.0024900989959443856,0.0025900762347118517,644,998937,0.016585508343636493,0.016679726769563627,28525,1000864,0.010979295503292172,0.011076939185887535,12287,998937,0.88766,0.9709977962313014,0.29775,0.4202518785382075,0.3069,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val1000k,3000000,proxy
1,1,240000,,lr_6e-6,1.26e-05,validation_total_reference_mistag_geomean_percent,0.4183215043258292,min,1.0662553730092204,1.0662553730092204,0.5894381244035805,0.29688083233246965,0.4183215043258292,,0.1851644447649059,0.06048873747998692,3.401583696315643,0.20389912270112576,0.5526859782919629,0.06299241176737007,2.8441401560119544,1.2190884367408135,0.004250290734826947,0.004349954989448846,1851,999652,0.002411001470918931,0.0025110271310627456,604,998533,0.018083576678729757,0.018176805861753326,34004,999652,0.0044646294945919,0.0045643679128731275,2036,998533,0.007360366263821274,0.007459151043214939,5533,1001111,0.0024613670672216916,0.00256138771266819,629,998533,0.016566751266202176,0.01666095822774015,28473,1001111,0.010933034790943166,0.011030739849754098,12173,998533,0.88765,0.9710359649564194,0.29745,0.4183215043258292,0.30649,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val1000k,3000000,proxy
1,1,240000,,lr_9e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.4202518785382075,min,1.068998391671306,1.068998391671306,0.5892602968902253,0.299717531194527,0.4202518785382075,,0.18531351905328136,0.06211484832247069,3.403448486949784,0.20598086253731862,0.5554234854061072,0.06211484832247069,2.8524257272383133,1.2251653555407016,0.004251440312914075,0.004351076859689671,1853,999927,0.0024442877518607753,0.0025443484343011763,620,998151,0.01808589103866956,0.018179090852152996,34032,999927,0.004488417831826795,0.004588190249537509,2056,998151,0.007378202370062967,0.007476971123963547,5561,1001218,0.0024442877518607753,0.0025443484343011763,620,998151,0.016589348093930603,0.016683528436602438,28559,1001218,0.01096212671065841,0.01105985698554475,12229,998151,0.8876,0.9710227402330677,0.29752,0.4183215043258292,0.30565,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val1000k,3000000,proxy
2,2,360000,,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.4144168965462206,min,1.054899019521103,1.054899019521103,0.5834134146809201,0.2943733548480875,0.4144168965462206,,0.18348036175554333,0.06051461355524389,3.358340722642044,0.2013814120802175,0.5475070284677589,0.062017461640133234,2.813053381525301,1.2128971745025827,0.004229777055801448,0.004329399335859939,1835,1000107,0.002412032628384855,0.0025121010286371925,604,998106,0.017967878095725975,0.018061151340899306,33587,1000107,0.004437666779818312,0.004537452912133999,2010,998106,0.007325858363974556,0.007424656252963402,5481,1001083,0.0024423874324215004,0.0025424528212804895,619,998106,0.016478549072635948,0.01657282077518439,28161,1001083,0.010907773098864544,0.011005532362696503,12106,998106,0.88795,0.9712297908125768,0.29619,0.4144168965462206,0.30469,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val1000k,3000000,proxy
2,2,360000,,lr_3e-6,1.008e-05,validation_total_reference_mistag_geomean_percent,0.4172055242017006,min,1.0584361350793345,1.0584361350793345,0.58549376199632,0.29728830727578237,0.4172055242017006,,0.18732359808569551,0.06089072908917816,3.3717248005070757,0.2031026206237918,0.5463017763810508,0.06259326526417613,2.8145330071270567,1.221019283556651,0.004274772350839479,0.004374410158359925,1873,999874,0.002419184876783836,0.0025192120357691965,608,998510,0.018004594681441527,0.018097862890293498,33713,999874,0.0044558723249309064,0.004555614635986258,2028,998510,0.007318400668092188,0.00741721784446453,5468,1000912,0.0024534333237299076,0.002553457072564005,625,998510,0.01648417432445967,0.016578459176098265,28171,1000912,0.010941748255650051,0.011039451697437454,12192,998510,0.88781,0.9711663994551206,0.29659,0.4144168965462206,0.30586,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val1000k,3000000,proxy
