generation,training_chunk,samples_seen,epoch_fraction,trial,LR,optimization_metric_name,optimization_metric_value,optimization_metric_mode,controller_objective_mistag_percent,validation_working_point_mistag_percent,ctag_score,btag_score,total_mistag_score,group_score_warning,btag_c_mistag_percent_at_0p80,btag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p90,btag_d_mistag_percent_at_0p90,ctag_b_mistag_percent_at_0p50,ctag_d_mistag_percent_at_0p50,ctag_b_mistag_percent_at_0p80,ctag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p80_err_low,btag_c_mistag_percent_at_0p80_err_high,btag_c_mistag_percent_at_0p80_passed,btag_c_mistag_percent_at_0p80_total,btag_d_mistag_percent_at_0p80_err_low,btag_d_mistag_percent_at_0p80_err_high,btag_d_mistag_percent_at_0p80_passed,btag_d_mistag_percent_at_0p80_total,btag_c_mistag_percent_at_0p90_err_low,btag_c_mistag_percent_at_0p90_err_high,btag_c_mistag_percent_at_0p90_passed,btag_c_mistag_percent_at_0p90_total,btag_d_mistag_percent_at_0p90_err_low,btag_d_mistag_percent_at_0p90_err_high,btag_d_mistag_percent_at_0p90_passed,btag_d_mistag_percent_at_0p90_total,ctag_b_mistag_percent_at_0p50_err_low,ctag_b_mistag_percent_at_0p50_err_high,ctag_b_mistag_percent_at_0p50_passed,ctag_b_mistag_percent_at_0p50_total,ctag_d_mistag_percent_at_0p50_err_low,ctag_d_mistag_percent_at_0p50_err_high,ctag_d_mistag_percent_at_0p50_passed,ctag_d_mistag_percent_at_0p50_total,ctag_b_mistag_percent_at_0p80_err_low,ctag_b_mistag_percent_at_0p80_err_high,ctag_b_mistag_percent_at_0p80_passed,ctag_b_mistag_percent_at_0p80_total,ctag_d_mistag_percent_at_0p80_err_low,ctag_d_mistag_percent_at_0p80_err_high,ctag_d_mistag_percent_at_0p80_passed,ctag_d_mistag_percent_at_0p80_total,validation_accuracy,validation_auc,validation_loss,best_so_far,training_loss,validation_shutdown_warning,validation_dataset,validation_suffix,validation_sample_count,evaluation_type
0,0,120000,,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.44194500438692985,min,1.0702864500574942,1.0702864500574942,0.6095311925442437,0.3204354252770849,0.44194500438692985,,0.17884414765164994,0.08410765697957001,3.3980388401553294,0.20626402336332852,0.5381094046310778,0.07409484357051763,2.8812947536922966,1.201537930416184,0.017965602849398,0.019967859690778102,89,49764,0.012011380707737513,0.014010535336257365,42,49936,0.08028561898898445,0.08215849997992714,1691,49764,0.019329963547932396,0.021324225757598896,103,49936,0.03180330387497522,0.033789525764793375,268,49804,0.011217679097863021,0.013217234744321673,37,49936,0.07401632159302583,0.07590844910331136,1435,49804,0.04778910195970803,0.04974350298625734,600,49936,0.88768,0.9707620062462278,0.29952,0.44194500438692985,0.31552,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
0,0,120000,,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.44854486407598093,min,1.093355912236617,1.093355912236617,0.6291562035654745,0.3197814691308256,0.44854486407598093,,0.17876870652919313,0.08018924348222572,3.432760837686147,0.21250150614852303,0.5859100854744257,0.0741750560296932,2.9676747557796266,1.2148671067631018,0.01795803049099286,0.019959445800299336,89,49785,0.011712531803758437,0.013714007687461411,40,49882,0.0806686799004773,0.08253937604510639,1709,49785,0.019643880630139603,0.02164005161009075,106,49882,0.033209735318499856,0.03519272379850242,292,49837,0.01122981933920806,0.013231536354899737,37,49882,0.07507483605958543,0.0769622442774412,1479,49837,0.048081180031922,0.05003716234708629,606,49882,0.88774,0.9704593610679223,0.30667,0.44194500438692985,0.32138,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
0,0,120000,,lr_6e-6,6e-06,validation_total_reference_mistag_geomean_percent,0.446311331850776,min,1.0841400257092992,1.0841400257092992,0.6216389675263146,0.32043326648434634,0.446311331850776,,0.1645496037110435,0.08635578583765112,3.389320351695772,0.21890187787455684,0.57341056970251,0.07229786933978154,2.945245272135544,1.223038875377534,0.017183814358890888,0.01918387256832023,82,49833,0.012199042076151134,0.014203807382473553,43,49794,0.08012996581186413,0.08200060351584507,1689,49833,0.019967951257307853,0.02196739289298502,109,49794,0.0328323583933498,0.03481425780431048,286,49877,0.01108416193587046,0.013089491873927975,36,49794,0.07476574916075555,0.0766525431258925,1469,49877,0.048285725782989085,0.05024483658044466,609,49794,0.88763,0.9707172652560891,0.3034,0.44194500438692985,0.31887,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
0,0,120000,,lr_9e-6,9e-06,validation_total_reference_mistag_geomean_percent,0.45059557302165665,min,1.080942502813489,1.080942502813489,0.6307973210360249,0.3218725946604324,0.45059557302165665,,0.1809154316424226,0.08223684210526316,3.3931693801101357,0.21261232010793604,0.5971824281330368,0.07621951219512195,2.9097612598072797,1.195442848406716,0.01807758222890836,0.020080440014866113,90,49747,0.011875590685494477,0.013878028183053268,41,49856,0.08024290854172153,0.08211662529667083,1688,49747,0.01965411552799106,0.02165132304856022,106,49856,0.033514263052791204,0.03549425654318468,298,49901,0.01139875772073357,0.01340143660184574,38,49856,0.0743037711112643,0.07619107978316525,1452,49901,0.04770414398039841,0.049661925520584106,596,49856,0.88772,0.9706279654185165,0.30182,0.44194500438692985,0.31762,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
1,1,240000,,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.4414310142603796,min,1.0719392889077184,1.0719392889077184,0.6130281924471004,0.31786684976606927,0.4414310142603796,,0.1864885919155192,0.07411561801179607,3.3828631187924443,0.2183406113537118,0.5652444848858597,0.07211249831426472,2.8684650379014807,1.2078843500866712,0.01834667048687276,0.020344405052738795,93,49869,0.011220824046660196,0.013220939599797334,37,49922,0.0800267292156813,0.08189627551199938,1687,49869,0.01991680190136908,0.02191113955690451,109,49922,0.032644205186997066,0.03463297114815683,281,49713,0.011055750107524754,0.013055945909239683,36,49922,0.07392065998868234,0.07581676712192335,1426,49713,0.04792280730563526,0.049877502163736716,603,49922,0.88741,0.9707654719718711,0.29875,0.4414310142603796,0.30604,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
1,1,240000,,lr_3e-6,1.1200000000000001e-05,validation_total_reference_mistag_geomean_percent,0.44240506708099087,min,1.0576964116862868,1.0576964116862868,0.5923888265373464,0.3303948937102327,0.44240506708099087,,0.1929415472136233,0.08412787724888286,3.3624086042689907,0.2183318680374152,0.5358863380628693,0.07010656077426672,2.8460178451520237,1.1517506527322225,0.018697255504038612,0.02069926762073434,96,49756,0.012014266865828082,0.014013901202358119,42,49924,0.0798792614635016,0.08175387574676923,1673,49756,0.019916004771815224,0.021910262884406805,109,49924,0.03172969606920076,0.033715209914866956,267,49824,0.010887942586388928,0.01288813861795732,35,49924,0.07355433534470372,0.07544711936945912,1418,49824,0.04678503298083964,0.04874189825230645,575,49924,0.88794,0.9709419525579089,0.29785,0.4414310142603796,0.3069,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
1,1,240000,,lr_6e-6,1.26e-05,validation_total_reference_mistag_geomean_percent,0.44549154211164294,min,1.0709287667331358,1.0709287667331358,0.6124884721219747,0.3240268562205473,0.44549154211164294,,0.1864885919155192,0.08012499185741508,3.3788525391307855,0.2183406113537118,0.5632329447270091,0.07211249831426472,2.854384305067549,1.2138936514988306,0.01834667048687276,0.020344405052738795,93,49869,0.011703150098060756,0.013703024905464475,40,49922,0.07998032957731993,0.08185003671211943,1685,49869,0.01991680190136908,0.02191113955690451,109,49922,0.03258464918012094,0.034573496066021406,280,49713,0.011055750107524754,0.013055945909239683,36,49922,0.07374183703280253,0.07563851063922787,1419,49713,0.0480428776776046,0.04999733178997264,606,49922,0.88743,0.9707400405404818,0.29892,0.4414310142603796,0.30578,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
1,1,240000,,lr_9e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.45281406967936066,min,1.0700406699290927,1.0700406699290927,0.6036546827773488,0.3396653542986128,0.45281406967936066,,0.19471655454381015,0.09029979377211406,3.3683957325310505,0.22474615063575082,0.5616399791407515,0.07023317207367213,2.8824165924558893,1.1678773842797032,0.018776537381443806,0.02077606699756164,97,49816,0.012490606951316728,0.014493604852578085,45,49834,0.07990118244591907,0.08177329856306273,1678,49816,0.02023712580816353,0.022234728049269493,112,49834,0.03249272922965568,0.03447601515930093,280,49854,0.010907600820993029,0.012911404044665639,35,49834,0.07399383838730851,0.07588402325716496,1437,49854,0.04715617391505781,0.04911592600283527,582,49834,0.88791,0.9707242564705313,0.29875,0.4414310142603796,0.30744,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
2,2,360000,,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.43783303155793735,min,1.0583956273539419,1.0583956273539419,0.6069346899851616,0.3158457848700334,0.43783303155793735,,0.18663829728095205,0.07604715220495896,3.3053041163735766,0.21213151713848255,0.5773950914192743,0.07004342914913052,2.8708807831666054,1.168724632098554,0.01836138642060661,0.020360718617957824,93,49829,0.01137298821371549,0.01337114522195113,38,49969,0.07915532290052457,0.08102948287884576,1647,49829,0.019609710463600744,0.02160242082895822,106,49969,0.03300393771363758,0.034992494855163536,287,49706,0.010878140016965236,0.012876537318269024,35,49969,0.07395643280762379,0.0758527097594025,1427,49706,0.047110964756748135,0.04906538842657949,584,49969,0.88814,0.9709930465582389,0.29717,0.43783303155793735,0.30422,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
2,2,360000,,lr_3e-6,1.1200000000000001e-05,validation_total_reference_mistag_geomean_percent,0.4409237427703655,min,1.0559972806409315,1.0559972806409315,0.6063929118629784,0.32060689222330074,0.4409237427703655,,0.19931147277541408,0.0760182473488265,3.3198444810707226,0.21005040684125353,0.5557227461095126,0.07201728485165819,2.8147255120791694,1.2002880940508944,0.019033891298813405,0.021039072830884985,99,49671,0.011368666726023425,0.013366065423961827,38,49988,0.07945011560344592,0.08132965157633607,1649,49671,0.019505267237009995,0.021497303468496955,105,49988,0.032319733174235046,0.03430361461946646,277,49845,0.011041157097679725,0.013038715869243553,36,49988,0.07313979140006789,0.07503303355993994,1403,49845,0.0477396733731459,0.04969209138234246,600,49988,0.88798,0.9709627228889915,0.29712,0.43783303155793735,0.3047,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
