generation,training_chunk,samples_seen,epoch_fraction,trial,LR,optimization_metric_name,optimization_metric_value,optimization_metric_mode,controller_objective_mistag_percent,validation_working_point_mistag_percent,ctag_score,btag_score,total_mistag_score,group_score_warning,btag_c_mistag_percent_at_0p80,btag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p90,btag_d_mistag_percent_at_0p90,ctag_b_mistag_percent_at_0p50,ctag_d_mistag_percent_at_0p50,ctag_b_mistag_percent_at_0p80,ctag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p80_err_low,btag_c_mistag_percent_at_0p80_err_high,btag_c_mistag_percent_at_0p80_passed,btag_c_mistag_percent_at_0p80_total,btag_d_mistag_percent_at_0p80_err_low,btag_d_mistag_percent_at_0p80_err_high,btag_d_mistag_percent_at_0p80_passed,btag_d_mistag_percent_at_0p80_total,btag_c_mistag_percent_at_0p90_err_low,btag_c_mistag_percent_at_0p90_err_high,btag_c_mistag_percent_at_0p90_passed,btag_c_mistag_percent_at_0p90_total,btag_d_mistag_percent_at_0p90_err_low,btag_d_mistag_percent_at_0p90_err_high,btag_d_mistag_percent_at_0p90_passed,btag_d_mistag_percent_at_0p90_total,ctag_b_mistag_percent_at_0p50_err_low,ctag_b_mistag_percent_at_0p50_err_high,ctag_b_mistag_percent_at_0p50_passed,ctag_b_mistag_percent_at_0p50_total,ctag_d_mistag_percent_at_0p50_err_low,ctag_d_mistag_percent_at_0p50_err_high,ctag_d_mistag_percent_at_0p50_passed,ctag_d_mistag_percent_at_0p50_total,ctag_b_mistag_percent_at_0p80_err_low,ctag_b_mistag_percent_at_0p80_err_high,ctag_b_mistag_percent_at_0p80_passed,ctag_b_mistag_percent_at_0p80_total,ctag_d_mistag_percent_at_0p80_err_low,ctag_d_mistag_percent_at_0p80_err_high,ctag_d_mistag_percent_at_0p80_passed,ctag_d_mistag_percent_at_0p80_total,validation_accuracy,validation_auc,validation_loss,best_so_far,training_loss,validation_shutdown_warning,validation_dataset,validation_suffix,validation_sample_count,evaluation_type
0,0,120000,,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.443798081090127,min,1.0705788795432283,1.0705788795432283,0.6199450493570617,0.31770031389643427,0.443798081090127,,0.17843896617359614,0.0841717111126592,3.3181627653364747,0.2044170119520446,0.567073515263074,0.07214718095370788,2.8916729055353834,1.2485469800188855,0.017924931450557027,0.019922668370247424,89,49877,0.012020524969024901,0.014021199463091345,42,49898,0.07926813726281123,0.08113997804711642,1655,49877,0.019246083470263402,0.021241938416827415,102,49898,0.032693158896962476,0.034681211439147125,282,49729,0.011061066225189245,0.01306222267400595,36,49898,0.07420256369681383,0.07609712742627575,1438,49729,0.04874082564607814,0.050694830855162534,623,49898,0.88758,0.9707164029102255,0.29983,0.443798081090127,0.31408,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
0,0,120000,,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.4518599407068771,min,1.0924874615990192,1.0924874615990192,0.6342134008904963,0.3219380191729438,0.4518599407068771,,0.19082820302005665,0.0801458670433679,3.3706286099435756,0.20837925227409249,0.6243475341530562,0.0721312803390311,2.993254603740084,1.2001843422788907,0.018584739882624834,0.0205857511234105,95,49783,0.011706197503441726,0.013706592379599827,40,49909,0.07995325646050766,0.08182652383445094,1678,49783,0.019438498595360645,0.021433754886675566,104,49909,0.03431515029052096,0.03629759071584063,311,49812,0.011058629036778502,0.013059345074489293,36,49909,0.07541083280423501,0.07729816122703896,1491,49812,0.047774600949658345,0.04973011349882744,599,49909,0.88794,0.970572284067488,0.306,0.443798081090127,0.31762,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
0,0,120000,,lr_6e-6,6e-06,validation_total_reference_mistag_geomean_percent,0.4519432601342587,min,1.111755363148305,1.111755363148305,0.629874255145781,0.3242753751437404,0.4519432601342587,,0.1868557942916604,0.08007847534180225,3.4498001465228074,0.2142099204923481,0.6006187098556879,0.06806670370784894,3.019163460087738,1.2752496948865477,0.01838276650596754,0.020384419813065414,93,49771,0.011696357754070935,0.013695073381997467,40,49951,0.08087529547771838,0.08274583312601891,1717,49771,0.019713380176606364,0.021706725390983114,107,49951,0.03365177937058629,0.035636367736192366,299,49782,0.010712390045899436,0.012711586606382658,34,49951,0.07575333207828182,0.07764075696014595,1503,49782,0.04923756785183628,0.05118843069037149,637,49951,0.88693,0.9704747776913139,0.30475,0.443798081090127,0.3169,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
0,0,120000,,lr_9e-6,9e-06,validation_total_reference_mistag_geomean_percent,0.44566110607812476,min,1.0703539191756533,1.0703539191756533,0.6293170985229897,0.3156021375184707,0.44566110607812476,,0.18073378313071198,0.08016192866155902,3.3174688506399956,0.2064169673134499,0.5942820663489231,0.07615382999289591,2.9212173715172614,1.1863965558004284,0.01805944496383301,0.02006029906322887,90,49797,0.011708542741581255,0.013709337854723839,40,49899,0.07932292381292103,0.08119779955396214,1652,49797,0.019344283901220158,0.021340018692311793,103,49899,0.03346118315351986,0.03544499001400508,296,49808,0.011388937872920701,0.01338989363120776,38,49899,0.07451611057154202,0.07640648309558025,1455,49808,0.047501642769350386,0.04945809982261802,592,49899,0.88826,0.970733453024322,0.30129,0.443798081090127,0.314,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
1,1,240000,,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.44615434065111076,min,1.0608513727724567,1.0608513727724567,0.6008773783858309,0.33127174169304896,0.44615434065111076,,0.1906137835963483,0.08825593791056868,3.3046409806417225,0.2166282260866714,0.5581208387482478,0.0681977755470682,2.8648866040672156,1.195466835581811,0.0185638748086763,0.020562646326478872,95,49839,0.012335587348647946,0.014337823551222083,44,49855,0.07913970227211437,0.08101351282814029,1647,49839,0.019847647017380177,0.021844733497569442,108,49855,0.03240215162490078,0.03438733076768993,278,49810,0.010733012230888848,0.01273605307758563,34,49855,0.07380420545362656,0.07569676386165042,1427,49810,0.047705095394990314,0.049662915241994836,596,49855,0.88778,0.9708863482225446,0.29796,0.443798081090127,0.30678,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
1,1,240000,,lr_3e-6,1.1200000000000001e-05,validation_total_reference_mistag_geomean_percent,0.4418486790327411,min,1.0586000919969205,1.0586000919969205,0.6044883583947037,0.32296776679279193,0.4418486790327411,,0.1868633171934097,0.08023911098356087,3.34947459704285,0.21664559912511355,0.5552882786351445,0.07221520129987362,2.832571678454101,1.17550295324131,0.018383504638377554,0.020385238079868993,93,49769,0.011719812977827915,0.01372253146003302,40,49851,0.07971854414671672,0.08159318852796957,1667,49769,0.01984923808006603,0.021846484104141382,108,49851,0.03229452960402017,0.034276877473368286,277,49884,0.011071491778876907,0.013074532170383766,36,49851,0.07333945400861512,0.0752305005530255,1413,49884,0.04730338901466069,0.04926216687717658,586,49851,0.88822,0.970986832063153,0.29758,0.4418486790327411,0.3072,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
1,1,240000,,lr_6e-6,1.26e-05,validation_total_reference_mistag_geomean_percent,0.4501376111573895,min,1.0582735257104532,1.0582735257104532,0.6164593552626976,0.32868974612630414,0.4501376111573895,,0.18259525316981193,0.0882825022830381,3.280695005144858,0.22070625868069413,0.5679651566688068,0.07423756292000476,2.849860602044793,1.2018458647716175,0.018150028646266133,0.020149202158022236,91,49837,0.012339298600171468,0.014342136323972651,44,49840,0.0788600577625434,0.08073490446321718,1635,49837,0.020045022947164613,0.02204254682268746,110,49840,0.03268823195241065,0.034672338673152114,283,49827,0.01123927993150445,0.013242681245274522,37,49840,0.07360101808122216,0.07549353391499494,1420,49827,0.04784036321563677,0.04979851630618863,599,49840,0.88795,0.9708905808607159,0.29808,0.4418486790327411,0.30567,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
1,1,240000,,lr_9e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.44615434065111076,min,1.0608513727724567,1.0608513727724567,0.6008773783858309,0.33127174169304896,0.44615434065111076,,0.1906137835963483,0.08825593791056868,3.3046409806417225,0.2166282260866714,0.5581208387482478,0.0681977755470682,2.8648866040672156,1.195466835581811,0.0185638748086763,0.020562646326478872,95,49839,0.012335587348647946,0.014337823551222083,44,49855,0.07913970227211437,0.08101351282814029,1647,49839,0.019847647017380177,0.021844733497569442,108,49855,0.03240215162490078,0.03438733076768993,278,49810,0.010733012230888848,0.01273605307758563,34,49855,0.07380420545362656,0.07569676386165042,1427,49810,0.047705095394990314,0.049662915241994836,596,49855,0.88778,0.9708863482225446,0.29796,0.4418486790327411,0.30678,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
2,2,360000,,lr_14e-6,1.3440000000000002e-05,validation_total_reference_mistag_geomean_percent,0.44637402249683245,min,1.0486884445617468,1.0486884445617468,0.5977208858259254,0.33334918134018543,0.44637402249683245,,0.2025753178592695,0.08419364950487926,3.313410075006881,0.21850255467548324,0.5506320430107347,0.07216598105167293,2.80139069282227,1.146637242562784,0.019162357451685177,0.021159887473791873,101,49858,0.01202365646609402,0.01402485144483015,42,49885,0.07922747713223696,0.0811002218690092,1652,49858,0.019931560316272273,0.0219273706616245,109,49885,0.03219401657396318,0.034181451483289264,274,49761,0.011063947924114628,0.013065625108825429,36,49885,0.07302969385119887,0.07492666782140528,1394,49761,0.046697932907646504,0.04865653302528628,572,49885,0.8882,0.9711511026131202,0.2966,0.4418486790327411,0.30537,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
2,2,360000,,lr_3e-6,8.96e-06,validation_total_reference_mistag_geomean_percent,0.4438792596201841,min,1.0507273553764909,1.0507273553764909,0.6030338671632773,0.3267292400140029,0.4438792596201841,,0.1886981726429342,0.08427980937865966,3.2761216380633185,0.2187261723607361,0.5335473080349932,0.07223983342510285,2.8121553113351925,1.2200505977709912,0.018469951933729384,0.020469763312271287,94,49815,0.012035957342026157,0.014039196840010882,42,49834,0.07882341488453029,0.08069927317704215,1632,49815,0.019951938884531964,0.02194978272236129,109,49834,0.03164906370953947,0.033633436812590886,266,49855,0.011075267565355967,0.013078990256787458,36,49834,0.07309965121432074,0.07499261674504057,1402,49855,0.048207238019046944,0.05016489626855532,608,49834,0.88806,0.9710967172890452,0.29692,0.4418486790327411,0.30617,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
