generation,samples_seen,tier,member,dataset,suffix,status,rank,population_size,metric_name,metric_value,controller_objective_mistag_percent,validation_working_point_mistag_percent,ctag_score,btag_score,total_mistag_score,group_score_warning,btag_c_mistag_percent_at_0p80,btag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p90,btag_d_mistag_percent_at_0p90,ctag_b_mistag_percent_at_0p50,ctag_d_mistag_percent_at_0p50,ctag_b_mistag_percent_at_0p80,ctag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p80_err_low,btag_c_mistag_percent_at_0p80_err_high,btag_c_mistag_percent_at_0p80_passed,btag_c_mistag_percent_at_0p80_total,btag_d_mistag_percent_at_0p80_err_low,btag_d_mistag_percent_at_0p80_err_high,btag_d_mistag_percent_at_0p80_passed,btag_d_mistag_percent_at_0p80_total,btag_c_mistag_percent_at_0p90_err_low,btag_c_mistag_percent_at_0p90_err_high,btag_c_mistag_percent_at_0p90_passed,btag_c_mistag_percent_at_0p90_total,btag_d_mistag_percent_at_0p90_err_low,btag_d_mistag_percent_at_0p90_err_high,btag_d_mistag_percent_at_0p90_passed,btag_d_mistag_percent_at_0p90_total,ctag_b_mistag_percent_at_0p50_err_low,ctag_b_mistag_percent_at_0p50_err_high,ctag_b_mistag_percent_at_0p50_passed,ctag_b_mistag_percent_at_0p50_total,ctag_d_mistag_percent_at_0p50_err_low,ctag_d_mistag_percent_at_0p50_err_high,ctag_d_mistag_percent_at_0p50_passed,ctag_d_mistag_percent_at_0p50_total,ctag_b_mistag_percent_at_0p80_err_low,ctag_b_mistag_percent_at_0p80_err_high,ctag_b_mistag_percent_at_0p80_passed,ctag_b_mistag_percent_at_0p80_total,ctag_d_mistag_percent_at_0p80_err_low,ctag_d_mistag_percent_at_0p80_err_high,ctag_d_mistag_percent_at_0p80_passed,ctag_d_mistag_percent_at_0p80_total
19,2400000,control,lr_14e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,completed,2,4,validation_total_reference_mistag_geomean_percent,0.43214527350357707,1.0432890731331672,1.0432890731331672,0.5833732354910492,0.320120166730458,0.43214527350357707,,0.19850818385851252,0.07822214956796872,3.3385466285542758,0.2025753178592695,0.5585245257429132,0.06618797271135815,2.774540827590966,1.129206979180074,0.018957244211200482,0.020954376600230886,99,49872,0.011559255292875971,0.013561773508206854,39,49858,0.07950994247402643,0.08138115348280961,1665,49872,0.019162357451685177,0.021159887473791873,101,49858,0.03242552697287678,0.03441212568585008,278,49774,0.010559876695524686,0.012562877639232112,33,49858,0.07267464333805297,0.07457220070922442,1381,49774,0.04635043485860073,0.048310794795713985,563,49858
19,2400000,control,lr_3e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,completed,1,4,validation_total_reference_mistag_geomean_percent,0.4178076716132533,1.0258770819013359,1.0258770819013359,0.5800139991571563,0.30096385727336505,0.4178076716132533,,0.18631299947099117,0.0702261277885782,3.255469148802934,0.192620237163667,0.5567951247801868,0.06420674572122234,2.715632528956619,1.165753742526487,0.018329409378014368,0.020325269986390306,93,49916,0.010906506834746223,0.012910109317565942,35,49839,0.07850112408860632,0.08037401431885832,1625,49916,0.018666143547215235,0.02066483454893416,96,49839,0.0323819406513169,0.03436960717949954,277,49749,0.010388726197120144,0.01239257022819071,32,49839,0.07192772389909459,0.07382860299557613,1351,49749,0.04711056733728309,0.04907020803844638,581,49839
19,2400000,control,lr_6e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,completed,3,4,validation_total_reference_mistag_geomean_percent,0.4326389844521252,1.0430405031563437,1.0430405031563437,0.5837952179063777,0.32062011665498674,0.4326389844521252,,0.19850818385851252,0.07822214956796872,3.326515818442821,0.20458100881637512,0.5585245257429132,0.06618797271135815,2.782577386930726,1.129206979180074,0.018957244211200482,0.020954376600230886,99,49872,0.011559255292875971,0.013561773508206854,39,49858,0.07936964234193447,0.08124133580811252,1659,49872,0.019261510561661782,0.02125896012903903,102,49858,0.03242552697287678,0.03441212568585008,278,49774,0.010559876695524686,0.012562877639232112,33,49858,0.07277828459327403,0.07467551905840052,1385,49774,0.04635043485860073,0.048310794795713985,563,49858
19,2400000,control,lr_9e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,completed,4,4,validation_total_reference_mistag_geomean_percent,0.43320242807183273,1.0435408145218246,1.0435408145218246,0.5835843452731017,0.3215719290748102,0.43320242807183273,,0.2005133135932643,0.07822214956796872,3.3325313802544745,0.20458100881637512,0.5585245257429132,0.06618797271135815,2.778559186308168,1.129206979180074,0.01905736402742137,0.02105441600688579,100,49872,0.011559255292875971,0.013561773508206854,39,49858,0.07943982742891695,0.08131127966639687,1662,49872,0.019261510561661782,0.02125896012903903,102,49858,0.03242552697287678,0.03441212568585008,278,49774,0.010559876695524686,0.012562877639232112,33,49858,0.0727264843346901,0.07462388025283907,1383,49774,0.04635043485860073,0.048310794795713985,563,49858
19,2400000,full_holdout,lr_14e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val_holdout,completed,1,4,validation_total_reference_mistag_geomean_percent,0.4026519218431457,1.0360752251160494,1.0360752251160494,0.5598238139086789,0.28960641926251796,0.4026519218431457,,0.18110499248011924,0.05907491935790351,3.322841499494591,0.19787437223739465,0.529224436188951,0.05694609202925022,2.761207927349761,1.1803275617904252,0.004328168523991672,0.004433941573993446,1706,941995,0.0024542543540250037,0.0025605697756093406,555,939485,0.01841733943695467,0.018516442105295794,31301,941995,0.0045320871136389105,0.004638107055676731,1859,939485,0.00741677068136137,0.007521620965379814,4994,943645,0.0024087059125667254,0.002515025866045952,535,939485,0.01681806044149768,0.01691818017311407,26056,943645,0.011090533077582655,0.011194461550131062,11089,939485
19,2400000,full_holdout,lr_3e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val_holdout,completed,4,4,validation_total_reference_mistag_geomean_percent,0.40362030620369505,1.0381297405005354,1.0381297405005354,0.5623376887513716,0.28970021899419984,0.40362030620369505,,0.18174194507364408,0.05886203420349795,3.323903029835803,0.19808724422849044,0.5322976315045863,0.05737185633112302,2.7711693270254445,1.1816048558016932,0.004335851391776909,0.004441623089445853,1712,941995,0.002449736893872848,0.002556052768646689,553,939485,0.018420188787524744,0.018519289201977124,31311,941995,0.004534547885003625,0.004640567373852007,1861,939485,0.007438312437876848,0.007543156208457934,5023,943645,0.0024178829183983327,0.0025242019654985945,539,939485,0.016847604566065655,0.01694770318516059,26150,943645,0.01109648956683397,0.011200415320245308,11101,939485
19,2400000,full_holdout,lr_6e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val_holdout,completed,3,4,validation_total_reference_mistag_geomean_percent,0.40335482287325775,1.0375602175609306,1.0375602175609306,0.5611707036815998,0.2899208958481696,0.40335482287325775,,0.18174194507364408,0.05907491935790351,3.3256015397957324,0.19787437223739465,0.5308140401350362,0.05715897696316002,2.7669304607965586,1.1812854861280158,0.004335851391776909,0.004441623089445853,1712,941995,0.0024542543540250037,0.0025605697756093406,555,939485,0.018424746700378136,0.01852384350860964,31327,941995,0.0045320871136389105,0.004638107055676731,1859,939485,0.007427920879147804,0.007532767794146949,5009,943645,0.0024132986929792724,0.0025196181932690166,537,939485,0.016835039673238072,0.016935147276384704,26110,943645,0.011095000757387757,0.01119892719058345,11098,939485
19,2400000,full_holdout,lr_9e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val_holdout,completed,2,4,validation_total_reference_mistag_geomean_percent,0.40285459140789415,1.0371487273028688,1.0371487273028688,0.5604306267751524,0.28958414130984605,0.40285459140789415,,0.18131730162582435,0.05896847777827046,3.3257076488269206,0.19776792867849222,0.5307080388306996,0.05694609202925022,2.7654467688630677,1.1803275617904252,0.004330730986711181,0.004436503585935345,1708,941995,0.0024519966445267754,0.0025583122927058536,554,939485,0.01842503152712019,0.01852412810996254,31328,941995,0.004530856228717687,0.004636876397350227,1858,939485,0.007427178060743014,0.007532025200343399,5008,943645,0.0024087059125667254,0.002515025866045952,535,939485,0.016830639486315954,0.016930750233880645,26096,943645,0.011090533077582655,0.011194461550131062,11089,939485
39,4800000,control,lr_14e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,completed,4,4,validation_total_reference_mistag_geomean_percent,0.42978757679763324,1.0360880113012816,1.0360880113012816,0.5908067484319874,0.31265276109290385,0.42978757679763324,,0.18642130600731963,0.07635888901544943,3.3074749698910693,0.2029538807621176,0.5295675341227878,0.07233999941011816,2.762175900525252,1.151411610676138,0.018340056009655138,0.02033707247404875,93,49887,0.011419595199929937,0.013425930493633775,38,49765,0.07913525596632554,0.08100715001326114,1650,49887,0.019198136416248675,0.021199384100079002,101,49765,0.0315287042731904,0.03351335644979532,264,49852,0.011090619292819362,0.01309711609794775,36,49765,0.07245884119362646,0.07435392570043324,1377,49852,0.046851215932661,0.04881434692029594,573,49765
39,4800000,control,lr_3e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,completed,2,4,validation_total_reference_mistag_geomean_percent,0.425632242062362,1.024934108339048,1.024934108339048,0.5921493394072099,0.3059410750409549,0.425632242062362,,0.1749482144102273,0.0741586988914216,3.2395584411058524,0.20844607357965736,0.5312537567583144,0.0741586988914216,2.7705384669773108,1.1264105160981777,0.0177646680631446,0.019768490777025638,87,49729,0.011227344196347164,0.013228620554241198,37,49893,0.07845835202484538,0.0803389247814694,1611,49729,0.01944472664116997,0.021440620092302375,104,49893,0.03157093994004632,0.03355433092459524,265,49882,0.011227344196347164,0.013228620554241198,37,49893,0.07254531843287719,0.0744389279402926,1382,49882,0.04627652794707924,0.04823562481169174,562,49893
