generation,training_chunk,samples_seen,epoch_fraction,trial,LR,optimization_metric_name,optimization_metric_value,optimization_metric_mode,controller_objective_mistag_percent,validation_working_point_mistag_percent,ctag_score,btag_score,total_mistag_score,group_score_warning,btag_c_mistag_percent_at_0p80,btag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p90,btag_d_mistag_percent_at_0p90,ctag_b_mistag_percent_at_0p50,ctag_d_mistag_percent_at_0p50,ctag_b_mistag_percent_at_0p80,ctag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p80_err_low,btag_c_mistag_percent_at_0p80_err_high,btag_c_mistag_percent_at_0p80_passed,btag_c_mistag_percent_at_0p80_total,btag_d_mistag_percent_at_0p80_err_low,btag_d_mistag_percent_at_0p80_err_high,btag_d_mistag_percent_at_0p80_passed,btag_d_mistag_percent_at_0p80_total,btag_c_mistag_percent_at_0p90_err_low,btag_c_mistag_percent_at_0p90_err_high,btag_c_mistag_percent_at_0p90_passed,btag_c_mistag_percent_at_0p90_total,btag_d_mistag_percent_at_0p90_err_low,btag_d_mistag_percent_at_0p90_err_high,btag_d_mistag_percent_at_0p90_passed,btag_d_mistag_percent_at_0p90_total,ctag_b_mistag_percent_at_0p50_err_low,ctag_b_mistag_percent_at_0p50_err_high,ctag_b_mistag_percent_at_0p50_passed,ctag_b_mistag_percent_at_0p50_total,ctag_d_mistag_percent_at_0p50_err_low,ctag_d_mistag_percent_at_0p50_err_high,ctag_d_mistag_percent_at_0p50_passed,ctag_d_mistag_percent_at_0p50_total,ctag_b_mistag_percent_at_0p80_err_low,ctag_b_mistag_percent_at_0p80_err_high,ctag_b_mistag_percent_at_0p80_passed,ctag_b_mistag_percent_at_0p80_total,ctag_d_mistag_percent_at_0p80_err_low,ctag_d_mistag_percent_at_0p80_err_high,ctag_d_mistag_percent_at_0p80_passed,ctag_d_mistag_percent_at_0p80_total,validation_accuracy,validation_auc,validation_loss,best_so_far,training_loss,validation_shutdown_warning,validation_dataset,validation_suffix,validation_sample_count,evaluation_type
0,0,120000,,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.44172866388183535,min,1.0823403033477135,1.0823403033477135,0.610833421917788,0.3194393192864506,0.44172866388183535,,0.17859651956980302,0.08026164984326836,3.3833001567014267,0.2146999206931201,0.5839386921398516,0.06621586209382768,2.917686739564315,1.2340228861760947,0.01794074619034861,0.019940240651465484,89,49833,0.01172310421817404,0.013726384379778099,40,49837,0.08006035305618414,0.08193123236658467,1686,49833,0.019758431769771642,0.021756316920791163,107,49837,0.0331534661718964,0.03513665314184098,291,49834,0.010564325218106184,0.012568169037532504,33,49837,0.07445261581849952,0.07634214379201656,1454,49834,0.04848331847800685,0.050440298175639074,615,49837,0.88741,0.9707001878684146,0.30024,0.44172866388183535,0.3136,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
0,0,120000,,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.4481842700506369,min,1.1010982664288882,1.1010982664288882,0.6283390993909899,0.3196827001781557,0.4481842700506369,,0.18886501050895915,0.07811248502971173,3.431717373965937,0.20629707206484055,0.6043569844932488,0.0680980615411293,2.9454875143415324,1.2858516294857456,0.018486267057354032,0.020487839628208777,94,49771,0.011543053965832,0.013542769061989604,39,49928,0.0806679091282958,0.08253917340278333,1708,49771,0.019333058043699797,0.021327638465187294,103,49928,0.03375118444516531,0.03573470622999977,301,49805,0.010717323555746613,0.012717439798362823,34,49928,0.07482212066870532,0.07671163247849298,1467,49805,0.04945445037439315,0.051405787207642675,642,49928,0.88699,0.9703337954282641,0.3076,0.44172866388183535,0.31864,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
0,0,120000,,lr_6e-6,6e-06,validation_total_reference_mistag_geomean_percent,0.4569555386040372,min,1.0941641238281226,1.0941641238281226,0.6376550009967827,0.3274629132281505,0.4569555386040372,,0.18891054513790562,0.08216926869350863,3.360196076382985,0.22045413093487204,0.5917990642791345,0.07415275140923719,2.9650136219564653,1.270617531830873,0.01849072164012973,0.02049277507466167,94,49759,0.011865835765067816,0.013866630615815587,41,49897,0.07985117414415835,0.08172576433123982,1672,49759,0.020022146352418516,0.022017398501381548,110,49897,0.03337656132784825,0.03535887595525625,295,49848,0.011226444414892461,0.013227560581685702,37,49897,0.07503356426432004,0.0769206627561067,1478,49848,0.0491734748479352,0.05112663459493905,634,49897,0.88731,0.9704886012453571,0.30455,0.44172866388183535,0.31798,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
0,0,120000,,lr_9e-6,9e-06,validation_total_reference_mistag_geomean_percent,0.4385585644671299,min,1.0856010617436642,1.0856010617436642,0.6165177479736766,0.3119676847902872,0.4385585644671299,,0.17458311142822497,0.07624857033930614,3.377280207493302,0.21068684051460107,0.5939719855418721,0.06621586209382768,2.9337401605821642,1.2520817559560145,0.017727621292261863,0.01972727682432514,87,49833,0.011403102119605274,0.013406543326301416,38,49837,0.07999067164090323,0.08186179255772336,1683,49833,0.019564311972225763,0.021562358168337407,105,49837,0.03344377316471612,0.035426557473455106,296,49834,0.010564325218106184,0.012568169037532504,33,49837,0.07465378732348302,0.07654267103907111,1462,49834,0.048839580960899874,0.050795835955617756,624,49837,0.88747,0.9706089134926597,0.30224,0.4385585644671299,0.31562,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
1,1,240000,,lr_14e-6,1.08e-05,validation_total_reference_mistag_geomean_percent,0.4573632041290953,min,1.0889645736413263,1.0889645736413263,0.624389348417806,0.33501708672848846,0.4573632041290953,,0.19865157242892226,0.08815691672905555,3.4192150064388103,0.21037446307741348,0.5928813885308174,0.07212839064849076,2.9081333860355594,1.2221754652415413,0.018970926635763316,0.02096949590850556,99,49836,0.012321751712369544,0.01432174542453029,44,49911,0.08047224403769579,0.0823415694374878,1704,49836,0.019535331541748586,0.021530427932734807,105,49911,0.03343743658173062,0.035423333064562704,295,49757,0.011058186026998557,0.01305882201078876,36,49911,0.0743893832891758,0.07628221927418466,1447,49757,0.04821305515007885,0.050167608144455374,610,49911,0.88764,0.9706626358014617,0.29967,0.4385585644671299,0.30687,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
1,1,240000,,lr_3e-6,7.2000000000000005e-06,validation_total_reference_mistag_geomean_percent,0.44654626625318705,min,1.0730620202800396,1.0730620202800396,0.6219637535096962,0.32060319717900343,0.44654626625318705,,0.17881898703147603,0.08609987333060627,3.3272386504644693,0.20623924054010914,0.5844429866663242,0.07208361417667877,2.908155969477586,1.2214168405530668,0.01796307802046683,0.019965054272537093,89,49771,0.012162903334987164,0.014161738011484144,43,49942,0.07945763959519847,0.08133310215432815,1656,49771,0.01932764332612555,0.021321666943548798,103,49942,0.03318202078444691,0.03516690016380011,291,49791,0.011051323911391348,0.013050719878113595,36,49942,0.07436458372684536,0.0762561263002521,1448,49791,0.0481833024488466,0.050136672617096846,610,49942,0.88781,0.9708030581063172,0.29915,0.4385585644671299,0.30726,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
1,1,240000,,lr_6e-6,8.1e-06,validation_total_reference_mistag_geomean_percent,0.4469179389591224,min,1.0718072831035608,1.0718072831035608,0.620887128103271,0.3216939683926709,0.4469179389591224,,0.18082819401152295,0.08609987333060627,3.335275509414083,0.20623924054010914,0.5844429866663242,0.07208361417667877,2.8880720061360954,1.2214168405530668,0.018068871797298557,0.020070767313125716,90,49771,0.012162903334987164,0.014161738011484144,43,49942,0.07955147784010491,0.08142661745426244,1660,49771,0.01932764332612555,0.021321666943548798,103,49942,0.03318202078444691,0.03516690016380011,291,49791,0.011051323911391348,0.013050719878113595,36,49942,0.07411148709844939,0.07600383638582259,1438,49791,0.0481833024488466,0.050136672617096846,610,49942,0.88774,0.9708143443177382,0.29896,0.4385585644671299,0.30813,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
1,1,240000,,lr_9e-6,9e-06,validation_total_reference_mistag_geomean_percent,0.4582775695150174,min,1.093482623357079,1.093482623357079,0.6280213451634429,0.33441272711190134,0.4582775695150174,,0.19664499678969602,0.08815691672905555,3.429247856442107,0.21037446307741348,0.6009204528616342,0.07212839064849076,2.922201773091942,1.2281861372162926,0.018870225816054874,0.020868875614574657,98,49836,0.012321751712369544,0.01432174542453029,44,49911,0.0805875407868098,0.08245646355771463,1709,49836,0.019535331541748586,0.021530427932734807,105,49911,0.03366864058667509,0.03565421394277849,299,49757,0.011058186026998557,0.01305882201078876,36,49911,0.07456616548535584,0.07645843599858974,1454,49757,0.04833243729732584,0.05028674943984134,613,49911,0.88753,0.9706353593548159,0.29999,0.4385585644671299,0.30717,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
2,2,360000,,lr_14e-6,1.08e-05,validation_total_reference_mistag_geomean_percent,0.4546427998644968,min,1.075239145836161,1.075239145836161,0.6191746259774786,0.3338316313306858,0.4546427998644968,,0.1865634251878843,0.09022375204151614,3.376196055935763,0.21854198853334836,0.5825750017756555,0.07217900322312026,2.8485909122273796,1.2270430277646196,0.018354025503999394,0.02035255856632505,93,49849,0.012480092544348042,0.01448140682728758,45,49876,0.07996542959461533,0.08183599344166598,1683,49849,0.019935153508741185,0.021931322404860787,109,49876,0.033131569544320436,0.03511700244984818,290,49779,0.011065943826192928,0.013067981679154008,36,49876,0.07361989132567935,0.07551428301827874,1418,49779,0.04832636777911403,0.050282097150695926,612,49876,0.88771,0.9708224717856554,0.29887,0.4385585644671299,0.30746,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
2,2,360000,,lr_3e-6,7.2000000000000005e-06,validation_total_reference_mistag_geomean_percent,0.46216140256100996,min,1.08357779106468,1.08357779106468,0.6357027612882207,0.33599533465030695,0.46216140256100996,,0.1866008643501463,0.09020024741205558,3.3728605439172514,0.2244983864178476,0.5765830696291625,0.07817354833094894,2.8829155383741174,1.2567901300859095,0.01835770522442442,0.020356637774394212,93,49839,0.012476841671625886,0.014477635408064338,45,49889,0.07993471679840214,0.08180578980758468,1681,49839,0.02021483720120662,0.022210247167676195,112,49889,0.032957647404396884,0.03494344071888946,287,49776,0.011552074812339346,0.013553350677431747,39,49889,0.0740573632303499,0.07595048995710126,1435,49776,0.04890701883143115,0.05086104608843806,627,49889,0.8874,0.9707979670227299,0.29952,0.4385585644671299,0.30979,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
