generation,training_chunk,samples_seen,epoch_fraction,trial,LR,optimization_metric_name,optimization_metric_value,optimization_metric_mode,controller_objective_mistag_percent,validation_working_point_mistag_percent,ctag_score,btag_score,total_mistag_score,group_score_warning,btag_c_mistag_percent_at_0p80,btag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p90,btag_d_mistag_percent_at_0p90,ctag_b_mistag_percent_at_0p50,ctag_d_mistag_percent_at_0p50,ctag_b_mistag_percent_at_0p80,ctag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p80_err_low,btag_c_mistag_percent_at_0p80_err_high,btag_c_mistag_percent_at_0p80_passed,btag_c_mistag_percent_at_0p80_total,btag_d_mistag_percent_at_0p80_err_low,btag_d_mistag_percent_at_0p80_err_high,btag_d_mistag_percent_at_0p80_passed,btag_d_mistag_percent_at_0p80_total,btag_c_mistag_percent_at_0p90_err_low,btag_c_mistag_percent_at_0p90_err_high,btag_c_mistag_percent_at_0p90_passed,btag_c_mistag_percent_at_0p90_total,btag_d_mistag_percent_at_0p90_err_low,btag_d_mistag_percent_at_0p90_err_high,btag_d_mistag_percent_at_0p90_passed,btag_d_mistag_percent_at_0p90_total,ctag_b_mistag_percent_at_0p50_err_low,ctag_b_mistag_percent_at_0p50_err_high,ctag_b_mistag_percent_at_0p50_passed,ctag_b_mistag_percent_at_0p50_total,ctag_d_mistag_percent_at_0p50_err_low,ctag_d_mistag_percent_at_0p50_err_high,ctag_d_mistag_percent_at_0p50_passed,ctag_d_mistag_percent_at_0p50_total,ctag_b_mistag_percent_at_0p80_err_low,ctag_b_mistag_percent_at_0p80_err_high,ctag_b_mistag_percent_at_0p80_passed,ctag_b_mistag_percent_at_0p80_total,ctag_d_mistag_percent_at_0p80_err_low,ctag_d_mistag_percent_at_0p80_err_high,ctag_d_mistag_percent_at_0p80_passed,ctag_d_mistag_percent_at_0p80_total,validation_accuracy,validation_auc,validation_loss,best_so_far,training_loss,validation_shutdown_warning,validation_dataset,validation_suffix,validation_sample_count,evaluation_type
0,0,240000,,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.4442748312115146,min,1.0707953090948483,1.0707953090948483,0.5916538115132021,0.33360746065880026,0.4442748312115146,,0.210839144685918,0.08226984428584111,3.2951146591649714,0.21671080509175158,0.5695149103567576,0.06220402875873273,2.961878625390214,1.1678304550246015,0.01957844167242871,0.02157792606503244,105,49801,0.011880355005842178,0.013883594773681689,41,49836,0.07905775538415913,0.08093337826854466,1641,49801,0.019855206837724165,0.021853051378468557,108,49836,0.032721133688683006,0.03470358676842707,284,49867,0.010211423182898412,0.012215468208513314,31,49836,0.07498044666066732,0.07686695189059144,1477,49867,0.047154291966662425,0.04911396728885364,582,49836,0.8884,0.9710714712882195,0.29735,0.4442748312115146,0.30601,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
0,0,240000,,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.43541752248039844,min,1.0879257521560666,1.0879257521560666,0.6083155586990063,0.31166130172379225,0.43541752248039844,,0.18450184501845018,0.07414829477929749,3.3090005043453794,0.20841683978553316,0.5950944840527372,0.06012023901024121,2.9935666819536384,1.2785571283032546,0.0182446423468551,0.020242656912381286,92,49864,0.011225769673440416,0.013226765713736497,37,49900,0.07917115546497641,0.08104385172562831,1650,49864,0.01944200138013002,0.02143761602377784,104,49900,0.03350680278440378,0.035493289003364015,296,49740,0.010017757790439232,0.012019316066206036,30,49900,0.0754685805539744,0.07735862833966323,1489,49740,0.04932653660470222,0.0512792607138695,638,49900,0.88761,0.9707874185716427,0.30341,0.43541752248039844,0.31455,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
0,0,240000,,lr_6e-6,6e-06,validation_total_reference_mistag_geomean_percent,0.45017820732146097,min,1.0923654570182812,1.0923654570182812,0.6058228128642758,0.33452094249967923,0.45017820732146097,,0.2088311459214005,0.08226984428584111,3.3633861727856504,0.21671080509175158,0.6036055892094448,0.06220402875873273,3.010006563261992,1.191909506831437,0.01948061549582082,0.02148018052742732,104,49801,0.011880355005842178,0.013883594773681689,41,49836,0.07985493615412301,0.08172781731241516,1675,49801,0.019855206837724165,0.021853051378468557,108,49836,0.03370933817843118,0.03569042402142174,301,49867,0.010211423182898412,0.012215468208513314,31,49836,0.0755766879545778,0.07746126296790841,1501,49867,0.04764233649242611,0.04960104550528685,594,49836,0.88811,0.9708202190337079,0.30046,0.43541752248039844,0.31012,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
0,0,240000,,lr_9e-6,9e-06,validation_total_reference_mistag_geomean_percent,0.4345841034545612,min,1.0771290511161586,1.0771290511161586,0.601152884822286,0.3141685713297989,0.4345841034545612,,0.1865072946049145,0.07615230796246189,3.3230386286888045,0.20641281946569642,0.5749899717172596,0.062124250472662255,2.9473261467823377,1.2404809892351327,0.018348508688466,0.020346442818623234,93,49864,0.011388709705673973,0.013389625426617082,38,49900,0.07933532871882698,0.08120746193189671,1657,49864,0.019343896585669214,0.021339591548669937,103,49900,0.0329225500893952,0.034909844677452444,286,49740,0.01019832946561321,0.012199807422027045,31,49900,0.07489335723524712,0.07678526426985882,1466,49740,0.04858094014942808,0.050535190326301584,619,49900,0.88778,0.9710510566372893,0.29846,0.4345841034545612,0.30679,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
1,1,480000,,lr_14e-6,1.08e-05,validation_total_reference_mistag_geomean_percent,0.4390086825715999,min,1.0498961637336612,1.0498961637336612,0.5819078198743743,0.3312012947598112,0.4390086825715999,,0.20698524674248378,0.08021176218544153,3.2856396026459684,0.22058233521083223,0.5513894996882365,0.06416940723510066,2.8551951091016643,1.1349963470595625,0.019397493152208664,0.021398699460116553,103,49762,0.011715818955301056,0.013717855821528829,40,49868,0.07897696805732601,0.08085444169658867,1635,49762,0.020033778792864297,0.02203018608647879,110,49868,0.03218127874213116,0.03416418041625475,275,49874,0.010382686269196324,0.012385366515151323,32,49868,0.07363452383467306,0.07552504232723883,1424,49874,0.04646572160698168,0.04842545625614401,566,49868,0.88875,0.9713103984401288,0.29558,0.4345841034545612,0.30291,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
1,1,480000,,lr_3e-6,7.2000000000000005e-06,validation_total_reference_mistag_geomean_percent,0.44521502312934386,min,1.0631909909566788,1.0631909909566788,0.5915205384897141,0.3350964234076361,0.44521502312934386,,0.20498392182385647,0.08213305313984476,3.3380224613369776,0.22436347101409235,0.5619668909783717,0.06610709122827008,2.886101257516806,1.1418497806152113,0.019299411663892502,0.02130077884209109,102,49760,0.011860608021358073,0.013860522562401738,41,49919,0.07959221598124941,0.08146765970191219,1661,49760,0.020202700460171703,0.02219691666735038,112,49919,0.032511592364480556,0.034496019495532625,280,49825,0.010546976017507032,0.0125475326243383,33,49919,0.07406163669325012,0.07595277379617814,1438,49825,0.04658385159909649,0.048541309539934865,570,49919,0.88857,0.9711736825166232,0.2965,0.4345841034545612,0.30455,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
1,1,480000,,lr_6e-6,8.1e-06,validation_total_reference_mistag_geomean_percent,0.44483522094733297,min,1.0692260389911896,1.0692260389911896,0.588200377148673,0.33641320455197016,0.44483522094733297,,0.21259527065055722,0.08019889168499418,3.3453670614626208,0.22455689451959332,0.5465359481484694,0.06415911460421846,2.905481305130179,1.1749138257288845,0.019652540234192446,0.02164958821691452,106,49860,0.011713940357097292,0.013715656623382137,40,49876,0.07959882094784598,0.08147020872475846,1668,49860,0.020220100985428008,0.022216028691540407,112,49876,0.032068869953165435,0.03405618993441058,272,49768,0.010381021317923216,0.012383380757560552,32,49876,0.07434789068035165,0.07624041488482163,1446,49768,0.04727981098186177,0.049237630666839304,586,49876,0.88812,0.9711188637691107,0.297,0.4345841034545612,0.30335,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
1,1,480000,,lr_9e-6,9e-06,validation_total_reference_mistag_geomean_percent,0.44055759026017893,min,1.0654415781400683,1.0654415781400683,0.5998671186214717,0.323556641647383,0.44055759026017893,,0.21093231659081674,0.07612026742075785,3.276481976468159,0.2083291610917572,0.5581881031561187,0.06610444534642296,2.9294837073283246,1.1978926477181897,0.0195870865408866,0.02158745085101693,105,49779,0.011383920304465153,0.013383995611142525,38,49921,0.07885582293021762,0.08073302332994928,1631,49779,0.01943383017856072,0.02142860886691165,104,49921,0.032406045175538495,0.03439146077247297,278,49804,0.010546553578111122,0.012547030143752611,33,49921,0.07462268996449306,0.07651288237185763,1459,49804,0.0477229509743252,0.04967808527702056,598,49921,0.88832,0.9710762527007603,0.2972,0.4345841034545612,0.3038,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
2,2,720000,,lr_14e-6,1.08e-05,validation_total_reference_mistag_geomean_percent,0.44295049304070516,min,1.0690518863848237,1.0690518863848237,0.581628796678755,0.33733738839167504,0.44295049304070516,,0.20893603240497882,0.08218738844958187,3.3891836347360296,0.22250731273461202,0.5457244947326961,0.062141682124966374,2.8630471054384503,1.1786874404572738,0.019490390804579108,0.021490955883493937,104,49776,0.011868451365459073,0.013869686661738951,41,49886,0.08017372002179085,0.08204650530245217,1687,49776,0.02012151863163441,0.022117128417082188,111,49886,0.03202137679902414,0.03400577884186329,272,49842,0.01020119084615285,0.012203229786837308,31,49886,0.07375749222352651,0.07564890938424121,1427,49842,0.047351717527582306,0.04930899347493165,588,49886,0.88774,0.9710242329758142,0.29746,0.4345841034545612,0.30229,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
2,2,720000,,lr_3e-6,7.2000000000000005e-06,validation_total_reference_mistag_geomean_percent,0.44881413249216595,min,1.082092196687037,1.082092196687037,0.5898529796896608,0.34149886914308036,0.44881413249216595,,0.20893603240497882,0.08419195354314314,3.4132915560668917,0.22651645849314708,0.5537498393528928,0.062141682124966374,2.891135849217666,1.21677420229261,0.019490390804579108,0.021490955883493937,104,49776,0.012023415523779061,0.014024570455618467,42,49886,0.08045197104797966,0.08232378768835077,1699,49776,0.020310161905108322,0.0223056109616752,113,49886,0.032261835703604594,0.03424591572087797,276,49842,0.01020119084615285,0.012203229786837308,31,49886,0.0741126918576248,0.07600298192885942,1441,49842,0.048117330378638114,0.05007307940161892,607,49886,0.88762,0.9709181455170123,0.29823,0.4345841034545612,0.30285,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,150000,proxy
