generation,samples_seen,tier,member,dataset,suffix,status,rank,population_size,metric_name,metric_value,controller_objective_mistag_percent,validation_working_point_mistag_percent,btag_c_mistag_percent_at_0p80,btag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p90,btag_d_mistag_percent_at_0p90,ctag_b_mistag_percent_at_0p50,ctag_d_mistag_percent_at_0p50,ctag_b_mistag_percent_at_0p80,ctag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p80_err_low,btag_c_mistag_percent_at_0p80_err_high,btag_c_mistag_percent_at_0p80_passed,btag_c_mistag_percent_at_0p80_total,btag_d_mistag_percent_at_0p80_err_low,btag_d_mistag_percent_at_0p80_err_high,btag_d_mistag_percent_at_0p80_passed,btag_d_mistag_percent_at_0p80_total,btag_c_mistag_percent_at_0p90_err_low,btag_c_mistag_percent_at_0p90_err_high,btag_c_mistag_percent_at_0p90_passed,btag_c_mistag_percent_at_0p90_total,btag_d_mistag_percent_at_0p90_err_low,btag_d_mistag_percent_at_0p90_err_high,btag_d_mistag_percent_at_0p90_passed,btag_d_mistag_percent_at_0p90_total,ctag_b_mistag_percent_at_0p50_err_low,ctag_b_mistag_percent_at_0p50_err_high,ctag_b_mistag_percent_at_0p50_passed,ctag_b_mistag_percent_at_0p50_total,ctag_d_mistag_percent_at_0p50_err_low,ctag_d_mistag_percent_at_0p50_err_high,ctag_d_mistag_percent_at_0p50_passed,ctag_d_mistag_percent_at_0p50_total,ctag_b_mistag_percent_at_0p80_err_low,ctag_b_mistag_percent_at_0p80_err_high,ctag_b_mistag_percent_at_0p80_passed,ctag_b_mistag_percent_at_0p80_total,ctag_d_mistag_percent_at_0p80_err_low,ctag_d_mistag_percent_at_0p80_err_high,ctag_d_mistag_percent_at_0p80_passed,ctag_d_mistag_percent_at_0p80_total
-1,0,monitor,initial_resume,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,completed,1,1,validation_working_point_mistag_percent,1.1257500139983279,1.1257500139983279,1.1257500139983279,0.1879999917382816,0.07800000076171876,3.5140000550939186,0.22000000671386738,0.619999975402833,0.07000000085449219,3.058000093322757,1.257999988098755,0.018401668178712582,0.020394108329909573,94,50000,0.011526437055627167,0.01352327711882593,39,50000,0.08142176978122029,0.08328117259316509,1757,50000,0.01998094010080432,0.021972100277600857,110,50000,0.03413025950578025,0.036105420002570304,310,50000,0.010871397397403768,0.01286855745420266,35,50000,0.07606595478549354,0.07794359723264539,1529,50000,0.0488774543595848,0.05082709536676482,629,50000
-1,0,full,initial_resume,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val1000k,completed,1,1,validation_working_point_mistag_percent,1.1313072129623953,1.1313072129623953,1.1313072129623953,0.19247839904587857,0.06304770869064794,3.627500640517944,0.21076234827899176,0.6021158580573605,0.06465658254444331,3.0198921154416616,1.2700040511222364,0.004339936560047281,0.0044398517484781986,1919,996995,0.0024673747861924744,0.0025678024489084704,627,994485,0.01867905326837435,0.01877207771252623,36166,996995,0.00454894912166005,0.004649079717054284,2096,994485,0.007692152247386775,0.007791081966492409,6013,998645,0.0024992632286233076,0.0025996876557524183,643,994485,0.017078047258652432,0.017172134869370206,30158,998645,0.01117976279529885,0.011277763161171225,12630,994485
1,40000,control,lr_14e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val5k_tail,completed,1,4,validation_working_point_mistag_percent,1.099652613468706,1.099652613468706,1.099652613468706,0.2107481559536354,0.06255212836441991,3.4773445452792062,0.31276062988127734,0.4796663297672349,0.06255212836441991,2.898852983376691,1.2927440067627618,0.05689794718691703,0.07787951138584093,10,4745,0.027160321423668924,0.04798060404748701,3,4796,0.2563125698061379,0.2759175657719042,165,4745,0.07092435028420159,0.09164031416418429,15,4796,0.08997432135121235,0.110625002619318,23,4795,0.027160321423668924,0.04798060404748701,3,4796,0.2326402744743678,0.252282120607877,139,4795,0.15325905196270986,0.17356643409600392,62,4796
1,40000,control,lr_3e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val5k_tail,completed,2,4,validation_working_point_mistag_percent,1.1671051477869365,1.1671051477869365,1.1671051477869365,0.18785223009742655,0.06266973211826066,3.527447405147473,0.31334865459842115,0.48339637883476805,0.06266973211826066,3.3207229955165096,1.3787340538643726,0.053015005672246145,0.07380471676451744,9,4791,0.027211378778731362,0.04807074814777055,3,4787,0.25696406110304115,0.27635995121280055,169,4791,0.071057553314127,0.0918122113539763,15,4787,0.0906727585282362,0.11148242594364449,23,4758,0.027211378778731362,0.04807074814777055,3,4787,0.25010833766836926,0.26972560054172245,158,4758,0.15866970945226117,0.17897934434305315,66,4787
1,40000,control,lr_6e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val5k_tail,completed,3,4,validation_working_point_mistag_percent,1.1697504029792813,1.1697504029792813,1.1697504029792813,0.18785223009742655,0.06266973211826066,3.506574894810378,0.31334865459842115,0.48339637883476805,0.06266973211826066,3.362757547392363,1.3787340538643726,0.053015005672246145,0.07380471676451744,9,4791,0.027211378778731362,0.04807074814777055,3,4787,0.2561995213551903,0.27560412284609104,168,4791,0.071057553314127,0.0918122113539763,15,4787,0.0906727585282362,0.11148242594364449,23,4758,0.027211378778731362,0.04807074814777055,3,4787,0.25169759615506837,0.27129719377594685,160,4758,0.15866970945226117,0.17897934434305315,66,4787
1,40000,control,lr_9e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val5k_tail,completed,4,4,validation_working_point_mistag_percent,1.1874167175931107,1.1874167175931107,1.1874167175931107,0.14625992291537876,0.041884816753926704,3.5520267984639013,0.2931937060344773,0.6282722312320975,0.06282722673703439,3.4345549024824154,1.3403141361256545,0.04579367340945279,0.06662247644902643,7,4786,0.02094094619055311,0.04186142993563103,2,4775,0.2579909316307513,0.2773968114115441,170,4786,0.06851776402953991,0.08933300954156778,14,4775,0.10446233774198954,0.1251372656099507,30,4775,0.027279754607573575,0.04819146849989734,3,4775,0.25395064411773,0.2734504117166317,164,4775,0.15651852919063794,0.1768952820649575,64,4775
1,40000,monitor,lr_14e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,completed,1,4,validation_working_point_mistag_percent,1.0967500196016697,1.0967500196016697,1.0967500196016697,0.18199999600097666,0.07800000076171876,3.384000045439454,0.2179999950769044,0.6060000253363048,0.07000000085449219,2.988000081156008,1.2480000121875001,0.018090905588142768,0.020083585734539902,91,50000,0.011526437055627167,0.01352327711882593,39,50000,0.0799361677116181,0.08180077041956557,1692,50000,0.019885761057873055,0.0218770012330696,109,50000,0.033733992461741635,0.03570971294733199,303,50000,0.010871397397403768,0.01286855745420266,35,50000,0.07520572544292246,0.07708616783407528,1494,50000,0.04868131131179256,0.05063135231097287,624,50000
1,40000,monitor,lr_3e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,completed,4,4,validation_working_point_mistag_percent,1.1225000038680464,1.1225000038680464,1.1225000038680464,0.1879999917382816,0.07800000076171876,3.504000018178711,0.2179999950769044,0.6179999851007084,0.07000000085449219,3.0500000872612025,1.2539999519723528,0.018401668178712582,0.020394108329909573,94,50000,0.011526437055627167,0.01352327711882593,39,50000,0.08130858806937313,0.08316839087331857,1752,50000,0.019885761057873055,0.0218770012330696,109,50000,0.034073930588247786,0.03604917108343793,309,50000,0.010871397397403768,0.01286855745420266,35,50000,0.07596819275642389,0.07784615519717542,1525,50000,0.048799094525391225,0.05074889552937143,627,50000
1,40000,monitor,lr_6e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,completed,3,4,validation_working_point_mistag_percent,1.1149999762169367,1.1149999762169367,1.1149999762169367,0.1879999917382816,0.07800000076171876,3.477999903279803,0.2179999950769044,0.6160000022558594,0.07000000085449219,3.019999965438843,1.2519999503295918,0.018401668178712582,0.020394108329909573,94,50000,0.011526437055627167,0.01352327711882593,39,50000,0.08101347237266729,0.0828743151558127,1739,50000,0.019885761057873055,0.0218770012330696,109,50000,0.03401750887199722,0.03599282936558746,308,50000,0.010871397397403768,0.01286855745420266,35,50000,0.0756003277499584,0.07747949016671044,1510,50000,0.04875986599256737,0.05070974699494749,626,50000
1,40000,monitor,lr_9e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,completed,2,4,validation_working_point_mistag_percent,1.1075000176450733,1.1075000176450733,1.1075000176450733,0.186000003178711,0.07800000076171876,3.430000096824649,0.22000000671386738,0.6160000022558594,0.07000000085449219,3.012000018383789,1.2480000121875001,0.018298640498242997,0.020291160647840055,93,50000,0.011526437055627167,0.01352327711882593,39,50000,0.08046540590986931,0.08232816865461554,1715,50000,0.01998094010080432,0.021972100277600857,110,50000,0.03401750887199722,0.03599282936558746,308,50000,0.010871397397403768,0.01286855745420266,35,50000,0.07550189263873935,0.07738137504909176,1506,50000,0.04868131131179256,0.05063135231097287,624,50000
